@relation Train-TS6-Venus-4

@attribute cherry-initial-fluorescence numeric
@attribute cherry-final-fluorescence numeric
@attribute cherry-lagtime2 numeric
@attribute cherry-doubletime numeric
@attribute sapphire-initial-fluorescence numeric
@attribute sapphire-final-fluorescence numeric
@attribute sapphire-lagtime2 numeric
@attribute sapphire-doubletime numeric
@attribute venus-initial-fluorescence numeric
@attribute venus-final-fluorescence numeric
@attribute venus-lagtime2 numeric
@attribute venus-doubletime numeric
@attribute F-Cherry numeric
@attribute F-Sapphire numeric
@attribute F-Venus numeric
@attribute HitRatio-Cherry numeric
@attribute HitRatio-Sapphire numeric
@attribute HitRatio-Venus numeric
@attribute MIY-Cherry numeric
@attribute MIY-Sapphire numeric
@attribute MIY-Venus numeric
@attribute DT-Cherry numeric
@attribute DT-Sapphire numeric
@attribute DT-Venus numeric
@attribute Label {Inactive,Active}

@data
1416.5,25523,1.10861,2.07953,3492,64660,2.0236,2.766,3377,33237.5,0.77229,2.52964,0.0019,0.00652,0.00435,0.86428,0.97334,0.89582,-0.16275,0.27407,0.08032,1.05325,1.02177,0.99251,Inactive
1584,29582,1.09374,2.04692,3344.5,62920,1.35643,2.80995,4562.5,36921,1.49933,2.4879,0.00261,0.00083,0.02435,1.00002,0.97295,0.96735,0.21541,0.04387,0.90711,1.00428,1.01128,0.95719,Inactive
1568,27431.5,0.87833,1.79774,3354,65013,1.21533,2.7817,4844.5,35047.5,1.55855,2.38649,0.00204,0.00099,0.03278,0.92378,1.00698,0.90292,0,-0.09723,0.96633,0.88203,1.00111,0.91817,Inactive
1406,29810.8,1.85647,1.81481,3076,66276.5,1.82142,2.65475,3160,36178,0.77005,2.51373,0.00152,-0.0001,-0.00216,1.01839,1.00568,0.99055,0.58511,0.07189,0.07808,0.91918,0.98068,0.98627,Inactive
1553,28349.5,0.96752,1.99122,3239.5,61745.5,1.26778,2.77435,3660,35154.5,0.56444,2.541,0.0015,-0.00088,-0.00263,0.9571,0.95549,0.94153,0.08918,-0.04478,-0.02778,0.97696,0.99847,0.97762,Inactive
1563,33657.5,0.9272,2.08767,3278,67586.5,1.34584,2.8436,4261,38381,1.44069,2.59112,0.00393,0.00099,0.0229,1.11654,1.03043,1.0076,-0.06581,-0.0445,0.83243,1.03352,1.01659,1.0072,Inactive
1416.5,76779.5,0.83731,3.19169,3018,64872.5,2.07153,4.37222,2900,79803.5,0.88779,3.67306,0.0019,-0.00103,-0.00996,2.70196,0.98426,2.30713,-0.43405,0.322,0.19582,1.61654,1.61512,1.44113,Inactive
1480,25181.5,1.23591,1.95887,3272,66451.8,1.7114,2.70628,4176.5,34064.5,1.49865,2.48,0.00328,0.0022,0.02467,0.81079,0.99738,0.87091,0.10447,0.11877,0.89768,0.97276,0.98168,0.95517,Inactive
1382.5,27478.5,1.24055,1.86658,3100.5,64084.5,1.46839,2.75127,3277.5,35423,0.53795,2.54147,-0.00235,-0.00186,-0.00614,0.90786,0.97716,0.94929,0.24754,0.07805,-0.07031,0.92406,0.98358,0.9879,Inactive
1409.5,26124,1.11963,2.03901,3105,62517,1.75553,2.72516,3273.5,33912.2,0.82617,2.47348,0.00165,0.00036,0.00125,0.88608,0.9454,0.91917,-0.15173,0.006,0.1342,1.03273,1.00669,0.97048,Inactive
1725.25,66903.75,0.77209,1.8975,3901,80186,1.16702,3.13649,3871.25,52042.75,0.90915,2.6482,-0.00044,-0.00021,-0.00012,1.07915,0.89102,1.07126,-0.09587,-0.15678,0.02797,1.0057,1.08478,1.01382,Inactive
1420.5,32631,1.31593,2.02763,3038,69884.5,1.71354,2.72031,3231.5,40513.2,0.72444,2.57592,0.00204,-0.00071,-0.00002,1.11898,1.0637,1.11846,0.04457,-0.03599,0.03247,1.02697,1.00489,1.01067,Inactive
1528.5,88865,0.42376,2.01648,3170,93808.5,1.41775,3.00451,3312.5,74873.75,0.54412,2.6906,0.00357,0.00039,0.00324,2.512,1.42737,2.53505,-0.53969,0.16178,-0.52629,1.08951,1.00293,1.09346,Inactive
1431,29321,1.20021,1.96697,3246,66078,1.82391,2.70171,3437,35984.5,0.6736,2.60144,0.00161,0.00179,0.00312,0.95408,0.99189,0.94841,0.06877,0.23128,0.07262,0.97678,0.98002,1.00194,Inactive
1430.75,79337.75,1.64826,2.03026,3444,71944.1,2.41613,3.26002,3227,53435.65,1.7812,2.80327,-0.00112,-0.0018,-0.00283,1.28236,0.80812,1.10059,0.58114,0.74034,0.72913,1.05952,1.12094,1.06007,Inactive
2102,28531,1.57319,1.98591,3455.5,63603.5,1.73702,2.70321,3923,35699,0.84441,2.55921,0.0209,0.0031,0.00842,0.91241,0.95113,0.92748,0.63936,0.3855,0.21914,0.96937,0.97495,1.00438,Inactive
