@relation Train-TS6-Venus-9

@attribute cherry-initial-fluorescence numeric
@attribute cherry-final-fluorescence numeric
@attribute cherry-lagtime2 numeric
@attribute cherry-doubletime numeric
@attribute sapphire-initial-fluorescence numeric
@attribute sapphire-final-fluorescence numeric
@attribute sapphire-lagtime2 numeric
@attribute sapphire-doubletime numeric
@attribute venus-initial-fluorescence numeric
@attribute venus-final-fluorescence numeric
@attribute venus-lagtime2 numeric
@attribute venus-doubletime numeric
@attribute F-Cherry numeric
@attribute F-Sapphire numeric
@attribute F-Venus numeric
@attribute HitRatio-Cherry numeric
@attribute HitRatio-Sapphire numeric
@attribute HitRatio-Venus numeric
@attribute MIY-Cherry numeric
@attribute MIY-Sapphire numeric
@attribute MIY-Venus numeric
@attribute DT-Cherry numeric
@attribute DT-Sapphire numeric
@attribute DT-Venus numeric
@attribute Label {Inactive,Active}

@data
1430,31729.8,1.30359,1.94507,3056.5,69804,1.75723,2.67061,3208.5,39590,0.88211,2.39606,0.00238,-0.00041,-0.00071,1.08633,1.06212,1.09146,0.03223,0.0077,0.19014,0.98515,0.98654,0.9401,Inactive
1540,25773,0.60854,2.15408,3357.5,63480,1.28757,2.80946,4537.5,32919,1.51976,2.38873,0.0015,0.00155,0.02636,0.8366,0.95073,0.8284,-0.3253,-0.06395,0.8945,1.05145,1.01327,0.93747,Inactive
1270.5,28186,1.39518,1.9,3022.5,63970.2,1.79429,2.69231,3159.5,37468.2,0.79549,2.47085,-0.00333,-0.00095,-0.00218,0.96499,0.96983,1.02927,0.12382,0.04476,0.10352,0.96232,0.99455,0.96944,Inactive
1422.5,26029.5,1.07639,2.07889,3125,62308,1.724,2.70123,3287,34341.2,0.62089,2.49404,0.00212,0.00068,0.00165,0.88222,0.94175,0.93164,-0.19497,-0.02553,-0.07108,1.05293,0.99785,0.97854,Inactive
1608,33049.8,1.77873,1.73678,3207,67933,1.93754,2.63222,3290.5,38704.2,0.71312,2.52395,0.00766,0.00118,-0.00115,1.07558,1.02179,1.03193,0.64729,0.34491,0.11214,0.86247,0.95482,0.97209,Inactive
1619,33141,1.11543,2.02772,3278.5,69047.5,1.49226,2.76382,3528,38615.8,0.604,2.58995,0.00588,0.00099,0.00126,1.09663,1.05383,1.03618,0.12242,0.10192,-0.00427,1.00384,0.98807,1.00674,Inactive
1436,27861,1.40792,1.9161,3114.5,63746.8,1.49578,2.75332,3434,35393.2,0.58873,2.65002,-0.00049,-0.00163,-0.00152,0.91931,0.97152,0.94379,0.41491,0.10544,-0.01953,0.94858,0.98432,1.03009,Inactive
2831.5,60408.4,1.7419,2.15601,9474.75,79880,3.63075,4.06523,5597.75,41524.6,1.53707,3.25473,0.02194,0.06934,0.04913,0.94773,0.8306,0.78753,0.67477,1.95496,0.485,1.12515,1.39781,1.23079,Inactive
1333.5,25500.5,1.27713,1.95902,3067,64290.5,1.59877,2.72122,3273.5,33242,0.77666,2.53575,-0.00108,-0.00025,0.00125,0.86645,0.97422,0.89906,0.00577,-0.15076,0.08469,0.99222,1.00523,0.99491,Inactive
1468,31058.5,1.07719,2.00237,3203.5,58912,1.43261,2.85634,3573,35886.5,0.54681,2.68383,-0.00098,-0.00089,-0.0018,1.02156,0.88093,0.94317,0.14336,0.08109,-0.07846,0.9774,1.03018,1.05329,Inactive
