@relation Train-TS6-Venus-3

@attribute cherry-initial-fluorescence numeric
@attribute cherry-final-fluorescence numeric
@attribute cherry-lagtime2 numeric
@attribute cherry-doubletime numeric
@attribute sapphire-initial-fluorescence numeric
@attribute sapphire-final-fluorescence numeric
@attribute sapphire-lagtime2 numeric
@attribute sapphire-doubletime numeric
@attribute venus-initial-fluorescence numeric
@attribute venus-final-fluorescence numeric
@attribute venus-lagtime2 numeric
@attribute venus-doubletime numeric
@attribute F-Cherry numeric
@attribute F-Sapphire numeric
@attribute F-Venus numeric
@attribute HitRatio-Cherry numeric
@attribute HitRatio-Sapphire numeric
@attribute HitRatio-Venus numeric
@attribute MIY-Cherry numeric
@attribute MIY-Sapphire numeric
@attribute MIY-Venus numeric
@attribute DT-Cherry numeric
@attribute DT-Sapphire numeric
@attribute DT-Venus numeric
@attribute Label {Inactive,Active}

@data
1539,28993,1.05286,2.03167,3354.5,64126,1.37497,2.80146,3835,36961.8,0.62559,2.59379,0.001,0.001,0.0026,0.98059,0.99248,0.99032,0.17453,0.06241,0.03337,0.9968,1.00822,0.99793,Inactive
1415.5,26586.5,1.03094,2.05344,3166.5,63853.2,1.76006,2.71486,3394.5,33660.2,0.83806,2.50866,0.00108,0.00054,0.00188,0.86106,0.95802,0.88192,-0.1005,0.16743,0.23709,1.01972,0.98479,0.9662,Inactive
1509,27136.5,1.13897,2.00318,3201,61511.5,1.34151,2.81099,4401,33851.5,1.48047,2.41975,0.00043,-0.00093,0.02237,0.88474,0.92207,0.85961,0.20514,-0.01001,0.85521,0.9778,1.01382,0.94965,Inactive
1608,27977.5,1.41015,2.00132,3192,65303.2,1.43543,2.79169,4161.5,34949.5,1.50697,2.50097,0.00766,0.00094,0.02423,0.90206,0.98051,0.89714,0.27871,-0.1572,0.90599,0.99384,1.01266,0.96324,Inactive
1618,26806,1.08329,2.09189,3200,64365.5,1.3192,2.8108,3475.5,34097,0.54786,2.6136,0.00419,-0.00094,-0.00464,0.86957,0.96722,0.89378,0.14946,-0.03232,-0.0774,1.0211,1.01376,1.02573,Inactive
731.5,21104.5,1.1925,2.15993,2470,43428.75,2.91812,3.15629,1157,10820.5,1.51204,3.02531,0.00106,-0.0036,0.00904,1.00012,0.90001,0.98102,-0.29262,-0.2708,-0.13778,1.05563,1.01534,1.0324,Inactive
1715,29012,1.30033,1.96669,3316,63360.2,1.28879,2.73333,3820,36167.8,0.58857,2.54794,0.00729,0.00037,0.00215,0.97498,0.98061,0.96703,0.422,-0.02377,-0.00365,0.96492,0.9837,0.98029,Inactive
1879.5,26668,1.55553,1.94979,3166.5,64317.2,1.63372,2.72741,4032,33607.5,1.54065,2.45311,0.01695,0.00054,0.02046,0.84798,0.96534,0.86181,0.42409,0.04109,0.93968,0.96825,0.98935,0.94481,Inactive
1411,28394.5,1.57439,1.94527,3120,66160.8,1.82769,2.75188,3181.5,36487,0.73969,2.54602,0.0017,0.0006,-0.00152,0.96743,1.00314,0.99917,0.30303,0.07816,0.04772,0.98525,1.01656,0.99894,Inactive
1417.5,33125.5,1.28266,1.86753,2991.5,67089.5,1.63352,2.66611,3342.5,40836.2,0.63466,2.5164,0.00115,-0.00223,0.00036,1.08468,1.01187,1.09254,0.15122,0.04089,0.03368,0.9274,0.96711,0.96918,Inactive
1640,27647,1.52632,1.9015,3274,61735.2,1.33248,2.83277,3446.5,34363.5,0.5302,2.53813,0.00495,0.00023,-0.00549,0.89785,0.92446,0.90241,0.59249,-0.01904,-0.09506,0.92816,1.02168,0.99611,Inactive
1384,67349.25,1.48519,1.91801,3422.25,73828.75,2.25086,3.18487,3141.5,49173.25,1.25405,2.71962,-0.00035,-0.00048,-0.00183,1.09192,0.82951,1.00452,0.17612,0.35946,0.01105,0.99857,1.09164,1.02434,Inactive
