@relation Train-TS6-Venus-7

@attribute cherry-initial-fluorescence numeric
@attribute cherry-final-fluorescence numeric
@attribute cherry-lagtime2 numeric
@attribute cherry-doubletime numeric
@attribute sapphire-initial-fluorescence numeric
@attribute sapphire-final-fluorescence numeric
@attribute sapphire-lagtime2 numeric
@attribute sapphire-doubletime numeric
@attribute venus-initial-fluorescence numeric
@attribute venus-final-fluorescence numeric
@attribute venus-lagtime2 numeric
@attribute venus-doubletime numeric
@attribute F-Cherry numeric
@attribute F-Sapphire numeric
@attribute F-Venus numeric
@attribute HitRatio-Cherry numeric
@attribute HitRatio-Sapphire numeric
@attribute HitRatio-Venus numeric
@attribute MIY-Cherry numeric
@attribute MIY-Sapphire numeric
@attribute MIY-Venus numeric
@attribute DT-Cherry numeric
@attribute DT-Sapphire numeric
@attribute DT-Venus numeric
@attribute Label {Inactive,Active}

@data
1606,28540.5,1.13891,2.00038,3798.5,65056,1.77552,2.73314,4773,35917.5,1.51252,2.45597,0.00339,0.00825,0.03064,0.96203,1.00042,0.93106,0.26058,0.46296,0.9203,0.98145,0.98364,0.94491,Inactive
1375,34977,1.49777,1.97567,3083.5,69039,1.76343,2.77614,3119.5,42075,0.52247,2.67207,0.00041,0.00002,-0.00338,1.20472,1.04952,1.16868,0.22641,0.0139,-0.1695,1.00065,1.02552,1.04839,Inactive
696.5,25306.5,1.25172,2.07512,2685.5,49808.75,3.35705,3.20084,1081.5,11927,1.74887,2.94377,-0.00066,0.00113,0.00137,1.20812,1.03547,1.10101,-0.2334,0.16813,0.09904,1.01418,1.02967,1.00457,Inactive
1468,25712,0.48342,2.0572,3412.5,63593,1.32773,2.76356,4738.5,33354.5,1.47464,2.47708,-0.00154,0.00194,0.02961,0.86593,0.98283,0.85547,-0.39491,0.01517,0.88242,1.00933,0.99458,0.95303,Inactive
1256.5,31048,1.06006,2.07205,3076.5,69729,1.85524,2.67715,3253,38720,0.73657,2.57792,-0.00384,-0.0001,0.00063,1.0681,1.06061,1.06402,-0.2113,0.10571,0.0446,1.04946,0.98895,1.01145,Inactive
1765,72216.5,1.00456,1.8567,3989.25,66243.75,1.20868,3.49189,3894.75,50562.5,0.90532,2.77113,0.00022,0.00082,0.0004,1.16645,0.72714,1.03782,0.1366,-0.11512,0.02414,0.98408,1.2077,1.06088,Inactive
1949.5,27861.5,2.11137,1.82706,3270,64013.5,1.88657,2.72439,3354,35655.8,0.8046,2.55006,0.01934,0.00217,0.0007,0.88641,0.95892,0.94125,0.97993,0.29394,0.20362,0.90731,0.98825,0.98215,Inactive
1624,24962.5,1.37178,2.07699,3181,63422.5,1.6525,2.73417,3446,33438,0.63503,2.5951,0.00821,0.00077,0.00338,0.79838,0.95099,0.87394,0.24034,0.05987,0.03405,1.03142,0.9918,0.9995,Inactive
1488,27820.5,1.06747,1.89588,3370,63801,1.39788,2.76602,4707,35711,1.52351,2.48557,-0.00082,0.00125,0.02867,0.94053,0.98692,0.92686,0.18914,0.08532,0.93129,0.93018,0.99547,0.95629,Inactive
1466,30736,0.90511,1.9978,3270.5,71175.2,1.3268,2.74962,4545,39535,1.53637,2.40924,-0.00105,0.00017,0.02658,1.0105,1.07379,1.02129,-0.02873,-0.02472,0.91111,0.97517,0.99169,0.94552,Inactive
1494.5,25941.9,0.96505,2.00699,3217.25,62883.5,1.30841,2.79422,3643.75,33259.9,0.6419,2.56472,-0.00007,-0.00067,0.00027,0.844,0.94351,0.86444,0.03122,-0.04312,0.01663,0.97966,1.00777,1.00654,Inactive
1444,27094.8,1.36046,1.94681,3238,64224.8,1.75236,2.72791,3431,35486.5,0.62896,2.56224,0.00205,0.00167,0.00294,0.87748,0.96276,0.93407,0.22902,0.15973,0.02798,0.96677,0.98953,0.98684,Inactive
1403.75,30503,0.96048,2.01307,3234.25,67570.85,1.58736,2.71291,3875.25,37281,1.05777,2.557,-0.00161,0.00028,0.01151,1.01234,1.03088,0.98651,-0.03253,0.19702,0.44951,0.99658,0.96987,0.99394,Inactive
1255,25374.5,1.37562,1.88273,3000.5,62688.2,1.77468,2.67657,3262.5,33827.5,0.71387,2.5666,-0.00389,-0.0013,0.00092,0.86475,0.94978,0.91696,0.10426,0.02515,0.0219,0.95358,0.98874,1.00701,Inactive
1725.5,24862.8,1.36721,2.12825,3259,63874.8,1.7278,2.72522,3441,33621.5,0.61223,2.58746,0.01168,0.002,0.00323,0.79149,0.9569,0.87944,0.23577,0.13517,0.01125,1.05687,0.98855,0.99655,Inactive
1645,25964,1.32545,1.91565,3202,63421.5,1.44247,2.65445,4560.5,34332.5,1.51699,2.48928,0.00513,-0.00091,0.02703,0.83957,0.95226,0.86899,0.39162,0.09095,0.89173,0.93507,0.95737,0.97694,Inactive
1504.5,38312,1.38187,2.02164,3172,60966,1.96456,2.8954,3195.5,39531,0.76482,2.72982,0.00506,0.00142,-0.0011,1.31964,0.91965,1.09008,0.11051,0.21503,0.07285,1.02393,1.06957,1.07105,Inactive
1509,26131.5,1.1669,1.91668,3249,60910,1.22999,2.8238,3665.5,32563,0.64323,2.54912,0.00043,-0.00017,0.0009,0.85005,0.9118,0.84346,0.23307,-0.12153,0.01797,0.93557,1.01844,1.00042,Inactive
1422.5,26029.5,1.07639,2.07889,3125,62308,1.724,2.70123,3287,34341.2,0.62089,2.49404,0.00212,0.00068,0.00165,0.88222,0.94175,0.93164,-0.19497,-0.02553,-0.07108,1.05293,0.99785,0.97854,Inactive
1334,27483.8,1.49915,1.91353,3085,62635,1.77506,2.73312,3291,35932.5,0.70099,2.57824,-0.00106,0.00004,0.00177,0.93754,0.94759,0.97925,0.22779,0.02553,0.00902,0.96918,1.00963,1.01158,Inactive
1684,28578,1.24427,1.85084,3408,64264.5,1.35725,2.69165,3913,34642.8,0.60789,2.56837,0.00618,0.00187,0.00493,0.96059,0.99387,0.91866,0.36594,0.04469,0.01567,0.90808,0.9687,0.98815,Inactive
