@relation Train-TS6-Venus-5

@attribute cherry-initial-fluorescence numeric
@attribute cherry-final-fluorescence numeric
@attribute cherry-lagtime2 numeric
@attribute cherry-doubletime numeric
@attribute sapphire-initial-fluorescence numeric
@attribute sapphire-final-fluorescence numeric
@attribute sapphire-lagtime2 numeric
@attribute sapphire-doubletime numeric
@attribute venus-initial-fluorescence numeric
@attribute venus-final-fluorescence numeric
@attribute venus-lagtime2 numeric
@attribute venus-doubletime numeric
@attribute F-Cherry numeric
@attribute F-Sapphire numeric
@attribute F-Venus numeric
@attribute HitRatio-Cherry numeric
@attribute HitRatio-Sapphire numeric
@attribute HitRatio-Venus numeric
@attribute MIY-Cherry numeric
@attribute MIY-Sapphire numeric
@attribute MIY-Venus numeric
@attribute DT-Cherry numeric
@attribute DT-Sapphire numeric
@attribute DT-Venus numeric
@attribute Label {Inactive,Active}

@data
1692,31283.8,1.31475,2.04232,3202.5,65808.5,1.39845,2.82792,3538,39002,0.59549,2.58023,0.00842,-0.00022,0.00155,1.02948,1.00315,1.04729,0.32174,0.00811,-0.01277,1.01106,1.01099,1.00297,Inactive
1453.5,30206.8,0.76695,2.02885,3375,67799.8,1.33383,2.7614,3796.5,38578,0.60429,2.58157,-0.00205,0.00133,0.00145,1.027,1.05215,1.03979,-0.11138,0.02127,0.01207,0.99542,0.99381,0.99323,Inactive
1467.5,63672.75,1.37022,1.87513,3461.5,86301.75,2.05275,2.8804,3371,49195.9,1.47737,2.65362,0.00103,-0.00002,0.00318,1.02968,0.976,1.00001,0.06116,0.16134,0.23437,0.97624,0.98729,0.99949,Inactive
1461.5,29152,1.07426,2.17568,3126,63386,1.61692,2.93062,4301.5,37082.5,1.47996,2.70923,0.0004,-0.00145,0.0241,0.96333,0.96556,0.96806,0.08125,0.22658,0.8717,1.07709,1.0477,1.05311,Inactive
1603,24932.5,1.0701,2.04111,3407,66201,1.29292,2.85679,3793,33448,0.62218,2.58919,0.00368,0.00233,0.00463,0.80541,0.99297,0.86557,0.13627,-0.0586,-0.00309,0.99631,1.03034,1.01615,Inactive
762,49774,1.76398,2.02478,2686.5,65165,3.25049,3.13312,1078.5,23291.5,1.677,2.82486,0.00255,0.00115,0.00107,2.40603,1.37288,2.25501,0.27886,0.06157,0.02718,0.98958,1.00788,0.96399,Inactive
1493,31674.2,1.55623,1.9175,3095,69002.5,1.75924,2.66067,3229.5,38340,0.62432,2.51616,0.00464,0.0002,-0.00008,1.08207,1.04876,1.05333,0.28487,0.00971,-0.06765,0.97119,0.98286,0.98722,Inactive
1957,45193.25,0,2.05421,4233,71352,1.24542,3.25284,3799.5,31003,1.07548,2.49932,-0.00006,0.0001,-0.00054,0.99656,1.00048,1.00907,0,0.12204,-0.10566,1.08215,1.00581,1.03374,Inactive
1502.5,30577.5,0.47369,2.09774,3361,68916.2,1.38248,2.78949,3735.5,38660.8,0.6084,2.55009,0.00021,0.00161,0.00295,1.00376,1.03663,1.0194,-0.46014,0.03096,-0.01687,1.02395,1.00607,1.0008,Inactive
1483,28588.5,1.42767,2.02343,3168.5,65404.8,1.79113,2.68606,4007,35929.5,1.56231,2.54726,0.00428,0.00137,0.02325,0.9718,0.99034,0.95768,0.15631,0.0416,0.87034,1.02484,0.99224,0.99942,Inactive
1343,67157.85,1.20618,1.96455,3507.25,86647.25,2.15575,2.89197,3176.75,49779.35,1.29574,2.67249,-0.00103,0.00052,-0.00106,1.08943,0.97953,1.01698,-0.10288,0.26435,0.05274,1.0228,0.99125,1.00659,Inactive
1549,28356.5,1.34918,2.00953,3620.5,62769.5,1.83568,2.84222,3514.5,34789.5,0.62343,2.6008,0.00344,0.00647,0.00086,0.93261,0.94776,0.92359,0.35617,0.44534,0.01516,0.99483,1.0161,1.01096,Inactive
741.5,31630,1.61041,2.05932,2655.5,58613,3.21774,3.06119,1093.5,15594,1.7378,2.79799,0.00155,0.00047,0.00259,1.51633,1.22959,1.47206,0.12529,0.02882,0.08798,1.00646,0.98474,0.95482,Inactive
1349,53351.5,1.1754,2.11064,3060.5,72220.8,1.63772,3.03869,3186,50749,0.62716,2.78834,-0.00052,-0.00035,-0.00138,1.86442,1.10052,1.4269,-0.09596,-0.11181,-0.06481,1.06901,1.12251,1.09401,Inactive
1372.75,73811.9,1.29603,2.02598,3382.75,63312,1.88744,3.31189,3126,50212.35,1.24586,2.78471,-0.00054,-0.00095,-0.00217,1.19908,0.70607,1.02753,-0.01304,-0.00396,0.00286,1.05478,1.13518,1.04886,Inactive
1416,29375.2,1.22373,1.97129,3207,63993.5,1.48253,2.79383,3423,36239.5,0.5676,2.64002,0.00109,0.00118,0.00271,0.95644,0.95959,0.95625,0.09229,-0.1101,-0.03338,0.97893,1.01344,1.0168,Inactive
1745.5,27211,1.44602,1.93524,3300.5,65277,1.62623,2.72383,4386.5,35088.5,1.5241,2.46077,0.01028,0.00135,0.02661,0.88593,0.99306,0.90667,0.45301,0.23589,0.91584,0.95805,0.97377,0.95653,Inactive
1421,25482,0.81077,2.10695,3187,62694.2,1.39871,2.72654,3574,34202,0.62363,2.56839,-0.00261,-0.00115,-0.00177,0.83066,0.941,0.89397,-0.12306,0.04719,-0.00163,1.02845,0.98337,1.00798,Inactive
735,20228.25,1.20983,2.17266,2672,47483.5,3.11438,3.15274,1101.5,10800.25,1.62688,2.88176,0.00123,0.00083,0.0034,0.95694,0.98467,0.98459,-0.27529,-0.07455,-0.02294,1.06185,1.0142,0.98341,Inactive
1460,30205,1.17092,1.97136,3311.5,68939.5,1.82405,2.63072,4122.5,36060,1.58412,2.34689,0.0026,0.00283,0.02309,0.98332,1.03602,0.93063,0.03948,0.23142,0.98314,0.97896,0.95427,0.9039,Inactive
1278,29793,0.86922,2.02354,3176,63716.5,1.64663,2.73458,3473.5,37159,0.60063,2.59878,-0.00598,-0.00065,-0.00035,0.99202,0.97005,0.99477,-0.1238,0.25629,-0.00763,1.00177,0.97762,1.01018,Inactive
1380.5,47026,0.83931,1.83972,3336,67577.25,1.56651,3.0686,3237.5,37447.5,0.91203,2.54796,-0.00069,0.00301,0.00058,1.31287,1.01167,1.21189,-0.12414,0.31055,-0.15838,0.994,1.02433,1.03549,Inactive
1781,30141.5,1.78296,2.12159,3252,64320.2,1.78526,2.88655,3412.5,34717.2,0.80111,2.70688,0.01358,0.00189,0.0024,0.97017,0.96404,0.91219,0.65152,0.19263,0.20014,1.05357,1.04707,1.04255,Inactive
1669,25404.5,1.70384,1.98052,3628,62665,1.89322,2.8145,3426,33960.8,0.57915,2.55231,0.00762,0.00659,-0.00176,0.82574,0.94596,0.90173,0.71083,0.50288,-0.02911,0.98047,1.00619,0.99211,Inactive
1369.5,35205,0.60322,1.86793,3158.5,65845.5,1.15201,3.06008,3231,30629.5,0.9635,2.50011,-0.00101,0.00021,0.00035,0.97319,0.98719,0.97059,-0.36023,-0.10396,-0.10691,1.00924,1.02148,1.01604,Inactive
1416,26343.8,1.88769,1.80295,3138.5,63818,1.8034,2.71071,3238,33957.5,0.73727,2.53465,0.00188,0.00089,0.00018,0.89373,0.96557,0.92159,0.61633,0.05387,0.0453,0.91317,1.00135,0.99448,Inactive
1525.5,35053.5,0,2.51842,3267.5,66480.45,1.80508,3.89969,3438.5,22269.5,0.19726,4.57998,0.00152,0.00022,0.00159,1.01117,1.00886,0.69741,0,0.7894,-0.68233,1.34398,1.27704,1.8086,Active
