@relation Train-TS6-Venus-6

@attribute cherry-initial-fluorescence numeric
@attribute cherry-final-fluorescence numeric
@attribute cherry-lagtime2 numeric
@attribute cherry-doubletime numeric
@attribute sapphire-initial-fluorescence numeric
@attribute sapphire-final-fluorescence numeric
@attribute sapphire-lagtime2 numeric
@attribute sapphire-doubletime numeric
@attribute venus-initial-fluorescence numeric
@attribute venus-final-fluorescence numeric
@attribute venus-lagtime2 numeric
@attribute venus-doubletime numeric
@attribute F-Cherry numeric
@attribute F-Sapphire numeric
@attribute F-Venus numeric
@attribute HitRatio-Cherry numeric
@attribute HitRatio-Sapphire numeric
@attribute HitRatio-Venus numeric
@attribute MIY-Cherry numeric
@attribute MIY-Sapphire numeric
@attribute MIY-Venus numeric
@attribute DT-Cherry numeric
@attribute DT-Sapphire numeric
@attribute DT-Venus numeric
@attribute Label {Inactive,Active}

@data
1563,34526.5,0.74385,1.83965,3218,64522,1.00519,3.02925,3377.5,30517,1.05451,2.43692,0.00265,-0.00057,-0.00067,0.99415,0.97839,1.00511,0.74385,-0.01048,0.17492,0.98175,0.99199,0.96232,Inactive
1526,27468,0.87718,2.16951,3210.5,60281,1.42187,2.80904,3442.5,34366.5,0.64035,2.54964,0.00102,-0.00077,-0.0056,0.8956,0.90246,0.90261,-0.05665,0.07035,0.01508,1.05898,1.01312,1.00062,Inactive
1470,26419.5,1.58635,1.90682,3103.5,62788,1.6259,2.74631,4143.5,33897,1.52896,2.49963,0.00294,-0.00046,0.0237,0.85348,0.9422,0.86699,0.45491,0.03327,0.92799,0.94691,0.9962,0.96273,Inactive
1376,27024,1.055,1.96726,3075.5,71039.5,1.53662,2.63008,3317.5,35624.5,0.57966,2.51181,-0.00027,-0.0009,-0.00036,0.87738,1.0729,0.9414,-0.07644,-0.05601,-0.02132,0.97693,0.95404,0.96742,Inactive
1389,26132,1.08555,2.06448,3185,65378.2,1.73151,2.72916,3283.5,33553.2,0.82505,2.47505,0.00091,0.00163,0.00155,0.8871,0.98965,0.9081,-0.18581,-0.01802,0.13308,1.04563,1.00816,0.97109,Inactive
1416.5,76779.5,0.83731,3.19169,3018,64872.5,2.07153,4.37222,2900,79803.5,0.88779,3.67306,0.0019,-0.00103,-0.00996,2.70196,0.98426,2.30713,-0.43405,0.322,0.19582,1.61654,1.61512,1.44113,Inactive
1517,26485,1.40734,1.97898,3123,63099.8,1.42779,2.77942,3423.5,33832,0.59958,2.59579,0.00233,-0.0015,-0.00183,0.86862,0.96102,0.898,0.41433,0.03745,-0.00868,0.97971,0.99365,1.00901,Inactive
1544.5,60413,1.33439,1.91337,3554.75,87202.15,1.65931,2.90806,3326.5,46993.15,1.06512,2.6226,0.00076,-0.0005,-0.00065,0.96899,0.98682,0.95719,0.26726,-0.01649,0.01305,0.99852,0.99992,0.99175,Inactive
1340.5,35383,0.38647,1.94988,3145,65777.5,1.02246,3.0695,3254,31203.75,1.11623,2.41287,-0.00184,0,0.00117,0.97914,0.98633,0.99012,-0.57698,-0.23351,0.04583,1.05352,1.02463,0.98059,Inactive
1336.75,66765.75,1.28597,1.9109,3453.25,88138.75,2.01506,2.96016,3161,50543,1.28282,2.67627,-0.00113,-0.00011,-0.00141,1.08304,0.99774,1.03398,-0.0231,0.12366,0.03983,0.99486,1.01462,1.00802,Inactive
1529,29115.5,1.15268,1.87549,3371,63937.5,1.38198,2.76585,3742.5,36770.8,0.60028,2.59327,0.00064,0.00127,-0.00016,0.98532,0.98914,0.98738,0.27435,0.06942,0.00806,0.92017,0.99541,0.99773,Inactive
1823,26103,1.8179,1.82224,3260,64320,1.42132,2.78362,4355,33787.5,1.50043,2.48356,0.01298,0.0007,0.02568,0.84468,0.97838,0.86918,0.82489,0.03098,0.89217,0.90211,0.99515,0.96539,Inactive
1508,27366.5,1.16667,2.01656,3122.5,64633.5,1.23876,2.82709,3385,34898.5,0.52247,2.56402,0.00202,-0.00151,-0.00297,0.8996,0.9856,0.93063,0.17366,-0.15158,-0.08579,0.99831,1.01069,0.99666,Inactive
1453.5,27918.2,0.90243,2.11983,3321.5,65676.5,1.61254,2.76078,3534,35331,0.62483,2.62011,0.00012,0.00168,0.00143,0.92069,0.99913,0.939,-0.09059,0.2222,0.01657,1.04944,0.98698,1.01847,Inactive
1638,31763.5,1.41438,1.9493,3283,69374,1.40056,2.80643,4316,39655,1.52635,2.49497,0.00654,0.00107,0.02453,1.04804,1.05899,1.0436,0.42137,0.01022,0.91809,0.96501,1.0033,0.96982,Inactive
1360,26595,0.81307,2.05587,4251,58426,1.88324,3.0562,3876.5,33745,0.60786,2.66936,-0.00471,0.01568,0.00706,0.87119,0.85668,0.87181,-0.12076,0.53172,-0.0174,1.00351,1.10226,1.04761,Inactive
1480.5,26030.2,0.98398,2.08457,3139.5,59734.8,1.23303,2.8258,3565,33178,0.60426,2.58695,-0.00055,-0.0019,-0.00203,0.84754,0.89495,0.86435,0.05015,-0.11849,-0.02101,1.01752,1.01917,1.01527,Inactive
1401,28831,1.08259,1.97505,3488.5,61922.5,1.62163,2.8568,3475.5,36131.5,0.59169,2.59772,-0.0033,0.00362,-0.00464,0.94697,0.92403,0.95317,0.14876,0.27011,-0.03358,0.96406,1.03035,1.01949,Inactive
1445.5,23470.5,1.74762,1.8735,3181.5,63433.8,1.76031,2.71109,3289,32534.5,0.75514,2.54768,0.00294,0.00158,0.00171,0.78965,0.95877,0.87737,0.47626,0.01078,0.06317,0.9489,1.00149,0.99959,Inactive
1308.5,28708,0.68616,1.98757,3712.5,61751.5,1.91901,2.79415,3686.5,36196.5,0.58718,2.60128,-0.00723,0.00684,-0.00184,0.97864,0.94786,0.97188,-0.19217,0.60645,-0.00504,0.97516,1.00559,1.00081,Inactive
1337,32217.5,0.75459,2.0384,3176,69909.2,1.70934,2.6484,3358,39641,0.56538,2.55927,-0.00161,0.00069,0.00082,1.05638,1.05347,1.05726,-0.37685,0.11671,-0.03559,1.01226,0.96069,0.9857,Inactive
1567,27609.2,1.04753,2.00479,3279.5,66925.8,1.14901,2.79218,3872.5,36242.2,0.59886,2.5775,0.002,-0.00023,0.00372,0.93016,1.03943,0.96769,0.1692,-0.16355,0.00664,0.98361,1.00488,0.99166,Inactive
1567.5,24814,1.04491,1.9602,3285,55776.5,1.20962,2.7361,3870,31025,0.61036,2.56489,0.00202,-0.00014,0.00365,0.83031,0.85726,0.8118,0.16658,-0.10294,0.01814,0.96174,0.9847,0.98681,Inactive
1191.5,27926,0.86882,2.01027,2995.5,64245.5,1.68104,2.72843,3240,34291,0.77423,2.59442,-0.00617,-0.00138,0.00024,0.9585,0.97464,0.93154,-0.40254,-0.06849,0.08226,1.01817,1.00789,1.01793,Inactive
2073.5,43461.5,0,2.00863,4230,54420.5,1.49985,3.05184,3787,23731.5,0.50625,2.68264,0.00263,0.00005,-0.001,0.95396,0.74814,0.73981,0,0.37647,-0.67488,1.05814,0.94366,1.10957,Inactive
1407.5,27369.5,1.39375,1.97461,3070.5,64366,1.50991,2.73048,3240.5,34016.2,0.75906,2.5182,0.00158,-0.00019,0.00026,0.9308,0.97537,0.92328,0.12239,-0.23962,0.06709,1.00011,1.00865,0.98802,Inactive
1674,28789.8,1.25025,1.93445,3334,66099.5,1.41075,2.7977,4379.5,35380.5,1.49044,2.42809,0.00613,0.00118,0.02175,0.93613,0.99252,0.90486,0.31642,0.05923,0.86518,0.94425,1.00903,0.95292,Inactive
1579,30635,1.2566,2.05952,3228,69821.2,1.65937,2.68971,3498,37985.8,0.55411,2.66632,0.00667,0.00151,0.0049,0.99396,1.05126,1.00495,0.12516,0.06674,-0.04686,1.02274,0.97567,1.02693,Inactive
1651.5,32347,1.05628,2.06324,3319.5,66637,1.30782,2.86456,4533.5,38796,1.45276,2.49067,0.00535,0.00095,0.02624,1.05971,1.00125,1.00006,0.12245,-0.0437,0.8275,1.00711,1.03315,0.97748,Inactive
1454,27183,1.32324,1.89284,3656,63665.8,2.00675,2.77198,4264,35171,1.50543,2.47464,0.00014,0.00704,0.02299,0.89509,0.96155,0.91272,0.33023,0.61641,0.89717,0.93706,0.99099,0.96192,Inactive
1318.75,26879.5,1.09812,1.96018,3107.5,64449.5,1.70261,2.75123,3697.75,34080.25,1.19643,2.47192,-0.0016,0.0004,0.01397,0.91642,0.97611,0.91148,-0.17324,-0.04692,0.50446,0.99281,1.01631,0.96986,Inactive
1608.75,66988.4,0.67067,3.1571,3189.25,51705.15,5.07386,3.85412,2922.75,32942.65,5.00229,3.14366,0.00181,-0.00481,-0.0095,1.07616,0.57236,0.65804,-0.39646,3.39807,3.95022,1.64758,1.32521,1.18879,Inactive
1305,28244.2,0.7539,2.0408,3086,65615.5,1.51094,2.7155,3323,36023,0.92139,2.37609,-0.0027,-0.00073,-0.0002,0.92155,0.98711,0.95285,-0.37754,-0.08169,0.32041,1.01345,0.98503,0.91514,Inactive
1310.5,30333.5,1.23954,1.98554,3126,61905,1.73254,2.78077,3304,37064.8,0.59272,2.69043,-0.00251,-0.0001,-0.00076,0.99283,0.9279,0.98376,0.1081,0.13991,-0.00826,0.98601,1.0087,1.03621,Inactive
1542.5,32682,0.75916,2.07476,3378,67298.5,1.31415,2.83879,4577,39351.5,1.49927,2.45675,0.00159,0.00187,0.02751,1.07504,1.01078,1.015,-0.17468,-0.03737,0.87401,1.01274,1.02385,0.96417,Inactive
1641,26309,1.29784,2.07691,3192.5,63604.2,1.39478,2.81396,3502.5,33756.8,0.63636,2.61193,0.00664,-0.00038,0.0005,0.85818,0.96799,0.89345,0.30483,0.00444,0.0281,1.02819,1.006,1.01529,Inactive
1558.5,27366.5,1.22688,1.90178,3753,63592.8,1.98705,2.71888,3770.5,34822.2,0.60074,2.58934,0.00214,0.0078,0.00397,0.89098,0.94626,0.90634,0.29305,0.63553,-0.02452,0.9283,0.9806,1.0162,Inactive
1380,25720,0.8687,2.03012,3247.5,63422.5,1.352,2.78948,4522.5,33701.5,1.5624,2.46417,-0.00244,0.0005,0.03062,0.84677,0.9642,0.86169,-0.12432,-0.03834,0.95414,1.00502,0.99724,0.95785,Inactive
1624,25043.5,1.39698,1.91353,3161,61029.2,1.64128,2.68747,3515.5,32425,0.61704,2.54212,0.00605,-0.00089,0.00089,0.81475,0.92723,0.85373,0.40397,0.25094,0.00878,0.94731,0.96077,0.98815,Inactive
