@relation Train-TS6-Venus-8

@attribute cherry-initial-fluorescence numeric
@attribute cherry-final-fluorescence numeric
@attribute cherry-lagtime2 numeric
@attribute cherry-doubletime numeric
@attribute sapphire-initial-fluorescence numeric
@attribute sapphire-final-fluorescence numeric
@attribute sapphire-lagtime2 numeric
@attribute sapphire-doubletime numeric
@attribute venus-initial-fluorescence numeric
@attribute venus-final-fluorescence numeric
@attribute venus-lagtime2 numeric
@attribute venus-doubletime numeric
@attribute F-Cherry numeric
@attribute F-Sapphire numeric
@attribute F-Venus numeric
@attribute HitRatio-Cherry numeric
@attribute HitRatio-Sapphire numeric
@attribute HitRatio-Venus numeric
@attribute MIY-Cherry numeric
@attribute MIY-Sapphire numeric
@attribute MIY-Venus numeric
@attribute DT-Cherry numeric
@attribute DT-Sapphire numeric
@attribute DT-Venus numeric
@attribute Label {Inactive,Active}

@data
1708.5,27035.5,1.34672,1.93166,3272,64029.5,1.17503,2.82111,3786.5,36365,0.52554,2.59066,0.00705,-0.00035,0.00115,0.90462,0.99226,0.97393,0.46839,-0.13753,-0.06668,0.94773,1.0153,0.99673,Inactive
1945,27415.8,1.96517,1.98196,3362.5,63430,1.92019,2.73963,3574,33911.2,0.88818,2.55063,0.01919,0.00363,0.00711,0.87132,0.94824,0.884,0.83373,0.32756,0.2872,0.98423,0.99378,0.98237,Inactive
1392.5,25264.2,1.34651,1.88585,3097.5,62622.8,1.74586,2.73678,3296.5,33665,0.82248,2.46325,0.00104,0.00024,0.00194,0.85586,0.9472,0.91106,0.07515,-0.00367,0.13051,0.95516,1.01098,0.96646,Inactive
1434,25908.5,1.23797,2.0509,3066.5,63588,1.74928,2.63554,3262,34419.8,0.78642,2.46756,0.00253,-0.00025,0.0009,0.87747,0.96305,0.93474,-0.03339,-0.00025,0.09445,1.03875,0.97358,0.96815,Inactive
1524,29681.2,1.51375,1.96902,3134.5,67846.2,1.71874,2.66204,4033.5,36755.5,1.52867,2.48833,0.00479,0.00003,0.0205,0.96322,1.02156,0.95349,0.38231,0.12611,0.92769,0.9778,0.96563,0.95837,Inactive
1397.5,26487.5,0.91477,2.00922,3313.5,62131.5,1.50608,2.71315,3617,32941.2,0.61846,2.58858,-0.00342,0.00085,-0.00051,0.86619,0.9301,0.85592,-0.01907,0.15456,-0.0068,0.98074,0.97854,1.01591,Inactive
1663,27146.5,0.94629,2.04104,3450.5,64425.2,1.38898,2.74629,4812,35703,1.52639,2.42167,0.00543,0.00256,0.03181,0.91021,0.9958,0.92348,0.06796,0.07642,0.93417,1.0014,0.98837,0.93171,Inactive
1745.5,27211,1.44602,1.93524,3300.5,65277,1.62623,2.72383,4386.5,35088.5,1.5241,2.46077,0.01028,0.00135,0.02661,0.88593,0.99306,0.90667,0.45301,0.23589,0.91584,0.95805,0.97377,0.95653,Inactive
1415.5,26586.5,1.03094,2.05344,3166.5,63853.2,1.76006,2.71486,3394.5,33660.2,0.83806,2.50866,0.00108,0.00054,0.00188,0.86106,0.95802,0.88192,-0.1005,0.16743,0.23709,1.01972,0.98479,0.9662,Inactive
1494.5,32607.5,1.32398,1.9622,3154.5,65702,1.79723,2.74451,3242.5,36843.2,0.7989,2.58877,0.0047,0.00115,0.00032,1.11548,0.99529,1.00803,0.05262,0.0477,0.10693,0.99383,1.01383,1.01571,Inactive
1696,26145,1.67988,1.97931,3149,63348.5,1.39449,2.82842,3365,33455.2,0.59527,2.63065,0.01067,0.00026,0.00102,0.83636,0.95033,0.87681,0.54844,-0.19814,-0.00571,0.98291,1.02599,1.01319,Inactive
1552,29692.5,1.08193,2.024,3302,66558.2,1.57669,2.77489,3565,37507,0.60799,2.55488,0.00355,0.00137,0.00235,0.97899,1.01357,1.00235,0.08892,0.18635,-0.00027,1.002,0.99203,0.99311,Inactive
1967,26693.8,1.53177,2.07581,3299.5,64668,1.57331,2.78606,4115.5,33406.5,1.51244,2.47389,0.01994,0.00264,0.02289,0.84587,0.96878,0.85352,0.40033,-0.01932,0.91147,1.03083,1.01062,0.95281,Inactive
1419.5,27083.5,0.98476,1.97001,3043,60153,1.22815,2.83161,3537,33940.5,0.57192,2.64092,-0.00266,-0.00342,-0.00285,0.886,0.90309,0.88742,0.05092,-0.12337,-0.05335,0.9616,1.02126,1.03645,Inactive
