plate,well-row,well-column,id_mixture,id_chemical         ,compound common name,SMILES,cherry_testname     ,cherry-error-code     ,cherry-initial-fluorescence,cherry-final-fluorescence,cherry-lagtime2,cherry-doubletime  ,sapphire_testname  ,sapphire-error-code  ,sapphire-initial-fluorescence,sapphire-final-fluorescence,sapphire-lagtime2,sapphire-doubletime,venus_testname     ,venus-error-code    ,venus-initial-fluorescence,venus-final-fluorescence,venus-lagtime2   ,venus-doubletime   ,plate layout,study,volume,concentration
3163,A,1,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,2022,34503.5,0,1.98124,SAPPHIRE405X384,0,5036,44166,0.981949,3.39413,VENUS500X384,0,4052,30942,0,2.75247,1698,1207,0,0
3163,A,7,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1872,31674,0,1.89482,SAPPHIRE405X384,0,4956,41932,0,4.23176,VENUS500X384,0,3896,27712,0,2.58365,1698,1207,0,0
3163,A,13,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,2230,29804,0,2.08942,SAPPHIRE405X384,0,5084,42288,0,4.09752,VENUS500X384,0,3882,26507,0,2.8393,1698,1207,0,0
3163,A,19,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,2061,31775.5,0,1.94744,SAPPHIRE405X384,0,4960,41989.5,0,4.02746,VENUS500X384,0,3932,27259,0,2.53701,1698,1207,0,0
3163,B,6,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1894,30071,0,1.90981,SAPPHIRE405X384,0,4872,40992,0.884027,3.41853,VENUS500X384,0,3840,26404,0,2.79296,1698,1207,0,0
3163,B,12,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1961,29481.5,0,1.92271,SAPPHIRE405X384,0,4776,39881,0,4.03318,VENUS500X384,0,3797,25572,0,2.84294,1698,1207,0,0
3163,B,18,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1919,28805.5,0,1.93363,SAPPHIRE405X384,0,4773,39107,0.905247,3.46247,VENUS500X384,0,3880,25873.5,0,2.55317,1698,1207,0,0
3163,B,24,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,2033,31623,0,2.12663,SAPPHIRE405X384,0,5260,43616,1.08547,3.32215,VENUS500X384,0,4224,28518,0,2.89242,1698,1207,0,0
3163,C,5,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1976,30431,0,1.96833,SAPPHIRE405X384,0,4908,40683.5,0,4.09398,VENUS500X384,0,3832,26036,0,2.59747,1698,1207,0,0
3163,C,11,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1748,29643,0,1.89997,SAPPHIRE405X384,0,4793,39863,0,4.09225,VENUS500X384,0,3707,25656,0,2.78299,1698,1207,0,0
3163,C,17,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1958,28856.5,0,2.11941,SAPPHIRE405X384,0,4745,39165,0.809725,3.50983,VENUS500X384,0,3904,24996,0,2.86928,1698,1207,0,0
3163,C,23,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,2008,29657,0,2.21355,SAPPHIRE405X384,0,5144,40393,0,4.22657,VENUS500X384,0,3958,26187.5,0,2.65456,1698,1207,0,0
3163,D,4,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1852,30049.5,0,1.9307,SAPPHIRE405X384,0,4801,40100,0,4.12026,VENUS500X384,0,3886,26418,0,2.63021,1698,1207,0,0
3163,D,10,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1860,26647,0,2.04853,SAPPHIRE405X384,0,4757,38758.5,0.925313,3.44815,VENUS500X384,0,3892,25540.5,0,2.85927,1698,1207,0,0
3163,D,16,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1780,27546,0,2.14379,SAPPHIRE405X384,0,4839,38497,0,4.17666,VENUS500X384,0,3724,23828.5,0,2.65178,1698,1207,0,0
3163,D,22,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1790,29156,0,1.93976,SAPPHIRE405X384,0,4939,38829,0,4.2057,VENUS500X384,0,3841,25677.5,0,2.62363,1698,1207,0,0
3163,E,3,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1740,29290,0,1.89063,SAPPHIRE405X384,0,4970,40531,0,4.13162,VENUS500X384,0,3905,26397,0,2.61253,1698,1207,0,0
3163,E,9,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1978,26402.5,0,2.11359,SAPPHIRE405X384,0,4714,38697,0.814912,3.50949,VENUS500X384,0,3771,24007.5,0,2.6533,1698,1207,0,0
3163,E,15,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,2236,27688.5,0,2.17857,SAPPHIRE405X384,0,5000,39765,1.08255,3.41152,VENUS500X384,0,3809,24411,0,2.88817,1698,1207,0,0
3163,E,21,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1983,30491.5,0,2.07959,SAPPHIRE405X384,0,4935,41198,1.04489,3.30254,VENUS500X384,0,4092,26772,0,2.88037,1698,1207,0,0
3163,F,2,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1882,32233.5,0,1.97508,SAPPHIRE405X384,0,4956,40727.5,0,4.32006,VENUS500X384,0,4046,27798,0,2.66653,1698,1207,0,0
3163,F,8,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1927,26904,0,1.97201,SAPPHIRE405X384,0,4818,39820,0,4.0441,VENUS500X384,0,3820,24705.5,0,2.57716,1698,1207,0,0
3163,F,14,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1910,25360.5,0,2.20514,SAPPHIRE405X384,0,4868,38925.5,0.879998,3.44649,VENUS500X384,0,3773,23840,0,2.6102,1698,1207,0,0
3163,F,20,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1992,27458,0,2.16802,SAPPHIRE405X384,0,4953,40021,0,4.09239,VENUS500X384,0,3913,25184,0,2.61728,1698,1207,0,0
3163,G,1,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1907,32907,0,2.01535,SAPPHIRE405X384,0,4928,42043,0,4.10303,VENUS500X384,0,3820,27929,0,2.55524,1698,1207,0,0
3163,G,7,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,2176,29827.5,1.62222,1.25308,SAPPHIRE405X384,0,4892,40206,0,4.30792,VENUS500X384,0,3771,25378,0,2.60109,1698,1207,0,0
3163,G,13,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1958,29335.5,0,2.16134,SAPPHIRE405X384,0,4877,39164,1.11262,3.34364,VENUS500X384,0,3773,25781,0,2.78614,1698,1207,0,0
3163,G,19,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1889,27370.5,0,1.95315,SAPPHIRE405X384,0,4784,38997.5,0.958479,3.3671,VENUS500X384,0,3885,25554,0,2.83651,1698,1207,0,0
3163,H,6,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1856,29316,0,1.95694,SAPPHIRE405X384,0,4780,39176.5,1.04418,3.3544,VENUS500X384,0,3736,25471.5,0,2.58187,1698,1207,0,0
3163,H,12,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1891,26954,0,2.17388,SAPPHIRE405X384,0,4687,38132,0.918022,3.47862,VENUS500X384,0,3701,23879.5,0,2.63305,1698,1207,0,0
3163,H,18,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1611,27281,0,1.8326,SAPPHIRE405X384,0,4808,38032,0,4.16412,VENUS500X384,0,3919,25343,0,2.88438,1698,1207,0,0
