id_chemical,cherry-initial-fluorescence,cherry-final-fluorescence,cherry-lagtime2,cherry-doubletime,sapphire-initial-fluorescence,sapphire-final-fluorescence,sapphire-lagtime2,sapphire-doubletime,venus-initial-fluorescence,venus-final-fluorescence,venus-lagtime2,venus-doubletime,F-Cherry,F-Sapphire,F-Venus,HitRatio-Cherry,HitRatio-Sapphire,HitRatio-Venus,MIY-Cherry,MIY-Sapphire,MIY-Venus,DT-Cherry,DT-Sapphire,DT-Venus,Label
20516,1895.50000,29333.75000,0.00000,1.96668,4823.50000,39462.75000,0.95355,3.51338,3895.00000,25873.50000,0.00000,2.78858,0.00020,0.00065,0.00383,0.99154,1.00011,0.98548,0.00000,0.12749,0.00000,0.99296,0.94341,1.01957,Inactive
20516,1904.50000,29702.00000,0.00000,1.98400,4826.00000,39155.50000,0.85062,3.70434,3912.50000,25322.00000,0.00000,2.83675,0.00052,0.00072,0.00462,1.00453,0.99117,0.95997,0.00000,0.02457,0.00000,1.00170,0.99469,1.03718,Inactive
20516,2014.00000,29110.25000,0.00000,2.05076,4816.00000,38433.50000,0.00000,4.18521,4023.50000,25382.75000,0.00000,2.87280,0.00448,0.00043,0.00960,0.97918,0.97061,0.95772,0.00000,-0.82605,0.00000,1.03541,1.12381,1.05036,Inactive
20516,2043.50000,28451.25000,0.00000,2.12395,4745.50000,36665.50000,0.96550,3.61698,4202.50000,24098.00000,0.00000,3.05015,0.00555,-0.00160,0.01762,0.95430,0.92160,0.89208,0.00000,0.13945,0.00000,1.07236,0.97123,1.11521,Inactive
20516,1871.00000,27138.75000,0.00000,2.20134,4740.50000,32726.00000,0.77900,4.54580,4521.50000,21118.50000,0.00000,3.59121,-0.00069,-0.00175,0.03193,0.91311,0.80800,0.74419,0.00000,-0.04705,0.00000,1.11144,1.22064,1.31303,Inactive
20561,1908.50000,31772.00000,0.00000,2.00881,4774.00000,39925.25000,0.98479,3.58151,3803.00000,27397.00000,0.00000,2.65148,0.00067,-0.00078,-0.00029,1.07919,1.01489,1.05792,0.00000,0.15874,0.00000,1.01423,0.96171,0.96944,Inactive
20561,1928.00000,33545.25000,0.00000,2.11244,4829.00000,40512.50000,0.43334,4.07692,3795.50000,27217.00000,0.00000,2.76809,0.00137,0.00081,-0.00063,1.14256,1.03026,1.05019,0.00000,-0.39271,0.00000,1.06655,1.09474,1.01208,Inactive
20561,1767.00000,32982.00000,0.29766,2.19213,4776.00000,40267.75000,1.06741,4.01667,3592.00000,27280.00000,0.00000,2.95420,-0.00444,-0.00072,-0.00975,1.12803,1.02472,1.06213,0.29766,0.24136,0.00000,1.10679,1.07856,1.08012,Inactive
20561,1826.00000,27219.75000,2.00986,4.19181,4603.50000,40078.50000,3.39071,5.66775,3217.50000,30742.00000,2.30633,4.57801,-0.00231,-0.00570,-0.02654,0.91766,1.02424,1.23416,2.00986,2.56465,2.30633,2.11641,1.52190,1.67383,Active
21416,1914.00000,27841.00000,0.00000,2.09211,4830.00000,38945.25000,0.79262,3.71340,3805.50000,24842.75000,0.00000,2.62247,0.00087,0.00084,-0.00018,0.93693,0.98498,0.94328,0.00000,-0.03343,0.00000,1.05629,0.99712,0.95883,Inactive
21416,1925.50000,27647.25000,0.00000,2.08095,4784.50000,38929.50000,0.87393,3.59887,3804.00000,25287.50000,0.00000,2.58608,0.00128,-0.00048,-0.00025,0.92951,0.98584,0.96329,0.00000,0.04788,0.00000,1.05066,0.96637,0.94553,Inactive
