id_chemical,cherry-initial-fluorescence,cherry-final-fluorescence,cherry-lagtime2,cherry-doubletime  ,sapphire-initial-fluorescence,sapphire-final-fluorescence,sapphire-lagtime2,sapphire-doubletime,venus-initial-fluorescence,venus-final-fluorescence,venus-lagtime2   ,venus-doubletime   ,F-Cherry,F-Sapphire,F-Venus,HitRatio-Cherry,HitRatio-Sapphire,HitRatio-Venus,MIY-Cherry,MIY-Sapphire,MIY-Venus,DT-Cherry,DT-Sapphire,DT-Venus
20516_5bbfc8d4-1d7a-4d28-af7f-06ccd4337534, 1895.50000, 29333.75000, 0.00000, 1.96668, 4823.50000, 39462.75000, 0.95355, 3.51338, 3895.00000, 25873.50000, 0.00000, 2.78858, 0.00020, 0.00065, 0.00383, 0.99154, 1.00011, 0.98548, 0.00000, 0.12749, 0.00000, 0.99296, 0.94341, 1.01957
20516_62da44b5-d624-4006-80a8-570ed61e2d4e, 1904.50000, 29702.00000, 0.00000, 1.98400, 4826.00000, 39155.50000, 0.85062, 3.70434, 3912.50000, 25322.00000, 0.00000, 2.83675, 0.00052, 0.00072, 0.00462, 1.00453, 0.99117, 0.95997, 0.00000, 0.02457, 0.00000, 1.00170, 0.99469, 1.03718
20516_52269e50-91b8-4b4c-aaa2-030df7cc526a, 2014.00000, 29110.25000, 0.00000, 2.05076, 4816.00000, 38433.50000, 0.00000, 4.18521, 4023.50000, 25382.75000, 0.00000, 2.87280, 0.00448, 0.00043, 0.00960, 0.97918, 0.97061, 0.95772, 0.00000, -0.82605, 0.00000, 1.03541, 1.12381, 1.05036
20516_b8abcd97-35be-4df1-985d-2a34606117e2, 2043.50000, 28451.25000, 0.00000, 2.12395, 4745.50000, 36665.50000, 0.96550, 3.61698, 4202.50000, 24098.00000, 0.00000, 3.05015, 0.00555, -0.00160, 0.01762, 0.95430, 0.92160, 0.89208, 0.00000, 0.13945, 0.00000, 1.07236, 0.97123, 1.11521
20516_6f8d9968-717d-47a6-ae6e-786167fe2d6b, 1871.00000, 27138.75000, 0.00000, 2.20134, 4740.50000, 32726.00000, 0.77900, 4.54580, 4521.50000, 21118.50000, 0.00000, 3.59121, -0.00069, -0.00175, 0.03193, 0.91311, 0.80800, 0.74419, 0.00000, -0.04705, 0.00000, 1.11144, 1.22064, 1.31303
20561_18c4c656-45fc-45d5-b23b-9361f0499565, 1908.50000, 31772.00000, 0.00000, 2.00881, 4774.00000, 39925.25000, 0.98479, 3.58151, 3803.00000, 27397.00000, 0.00000, 2.65148, 0.00067, -0.00078, -0.00029, 1.07919, 1.01489, 1.05792, 0.00000, 0.15874, 0.00000, 1.01423, 0.96171, 0.96944
20561_857c4d68-b24b-449c-a43b-3cd900ed4ca7, 1928.00000, 33545.25000, 0.00000, 2.11244, 4829.00000, 40512.50000, 0.43334, 4.07692, 3795.50000, 27217.00000, 0.00000, 2.76809, 0.00137, 0.00081, -0.00063, 1.14256, 1.03026, 1.05019, 0.00000, -0.39271, 0.00000, 1.06655, 1.09474, 1.01208
20561_b303c13d-a934-400e-9be8-6bb9de2ac80e, 1767.00000, 32982.00000, 0.29766, 2.19213, 4776.00000, 40267.75000, 1.06741, 4.01667, 3592.00000, 27280.00000, 0.00000, 2.95420, -0.00444, -0.00072, -0.00975, 1.12803, 1.02472, 1.06213, 0.29766, 0.24136, 0.00000, 1.10679, 1.07856, 1.08012
20561_6267a74f-d3e6-48e1-9ff3-d9ef1cb6ed63, 1826.00000, 27219.75000, 2.00986, 4.19181, 4603.50000, 40078.50000, 3.39071, 5.66775, 3217.50000, 30742.00000, 2.30633, 4.57801, -0.00231, -0.00570, -0.02654, 0.91766, 1.02424, 1.23416, 2.00986, 2.56465, 2.30633, 2.11641, 1.52190, 1.67383
20561_1670b6a2-9013-4bac-858b-bde2707da785, 1642.00000, 1434.50000, 0.00000, 10000000.00000, 4476.50000, 4509.75000, 0.48589, 245.84250, 2993.00000, 2175.50000, 0.00000, 10000000.00000, -0.00896, -0.00937, -0.03661, -0.00750, 0.00096, -0.03666, 0.00000, -0.34017, 0.00000, 5048924.07428, 66.01367, 3656233.60408
21416_d1e46b03-f4ce-45f2-89ab-a4441f7642c2, 1914.00000, 27841.00000, 0.00000, 2.09211, 4830.00000, 38945.25000, 0.79262, 3.71340, 3805.50000, 24842.75000, 0.00000, 2.62247, 0.00087, 0.00084, -0.00018, 0.93693, 0.98498, 0.94328, 0.00000, -0.03343, 0.00000, 1.05629, 0.99712, 0.95883
21416_b3b642c6-4f3f-443f-9444-0c895d8081a3, 1925.50000, 27647.25000, 0.00000, 2.08095, 4784.50000, 38929.50000, 0.87393, 3.59887, 3804.00000, 25287.50000, 0.00000, 2.58608, 0.00128, -0.00048, -0.00025, 0.92951, 0.98584, 0.96329, 0.00000, 0.04788, 0.00000, 1.05066, 0.96637, 0.94553
21416_54ff8829-6cc7-4c59-b728-5552de1ed78b, 1890.00000, 28508.25000, 0.00000, 1.93773, 4827.00000, 38772.00000, 0.84254, 3.62173, 3828.50000, 25198.25000, 0.00000, 2.62311, 0.00000, 0.00075, 0.00085, 0.96191, 0.98006, 0.95819, 0.00000, 0.01649, 0.00000, 0.97834, 0.97251, 0.95907
21416_3138f512-38cd-41b8-b4ae-40e179c041f7, 1810.00000, 28051.50000, 0.00000, 1.99932, 4811.50000, 38994.00000, 0.91999, 3.68298, 3844.50000, 25368.25000, 0.00000, 2.79330, -0.00289, 0.00030, 0.00157, 0.94830, 0.98692, 0.96509, 0.00000, 0.09394, 0.00000, 1.00944, 0.98895, 1.02129
21416_ac8b9fec-2c11-4432-b4c9-2fc23a005ee8, 1905.50000, 28505.25000, 0.00000, 1.95863, 4920.50000, 39504.25000, 0.95138, 3.60080, 3845.50000, 25975.00000, 0.00000, 2.64227, 0.00056, 0.00345, 0.00161, 0.96124, 0.99851, 0.99225, 0.00000, 0.12533, 0.00000, 0.98890, 0.96689, 0.96608
20843_783d6624-5db2-4348-8cfb-0ff27afa29e0, 2131.50000, 27437.50000, 0.00000, 1.96799, 4792.00000, 37956.00000, 0.00000, 3.79132, 4095.50000, 25245.00000, 0.00000, 2.58491, 0.00125, -0.00213, 0.00213, 0.94268, 0.98077, 0.96918, 0.00000, 0.00000, 0.00000, 0.97825, 1.00378, 0.99818
20843_7fa30e51-fd55-4ff5-b393-6f6678090c95, 2136.00000, 27524.75000, 0.00000, 1.99494, 4865.50000, 38428.50000, 0.00000, 3.90385, 4007.50000, 25042.25000, 0.00000, 2.57688, 0.00142, 0.00004, -0.00190, 0.94576, 0.99257, 0.96392, 0.00000, 0.00000, 0.00000, 0.99164, 1.03358, 0.99508
20843_4a7bead9-150e-4edb-953e-a9502946910d, 2131.50000, 28246.75000, 0.00000, 1.98983, 4721.50000, 38626.25000, 0.00000, 3.71397, 3990.00000, 25451.75000, 0.00000, 2.57477, 0.00125, -0.00421, -0.00270, 0.97283, 1.00268, 0.98349, 0.00000, 0.00000, 0.00000, 0.98911, 0.98330, 0.99426
20843_dc50a264-a9f3-4624-8bed-3e48954f6a38, 2193.50000, 28887.50000, 0.00000, 2.08174, 4815.00000, 38090.75000, 0.37651, 3.58665, 3993.50000, 26003.25000, 0.00000, 2.57374, 0.00356, -0.00145, -0.00254, 0.99438, 0.98407, 1.00860, 0.00000, 0.37651, 0.00000, 1.03480, 0.94959, 0.99387
20843_103af80b-2288-40cc-acae-fc5de2826d84, 2071.50000, 28459.00000, 0.00000, 1.97570, 4940.50000, 38510.50000, 0.00000, 3.83672, 4081.50000, 26203.00000, 0.00000, 2.62025, -0.00099, 0.00226, 0.00149, 0.98297, 0.99278, 1.01372, 0.00000, 0.00000, 0.00000, 0.98208, 1.01580, 1.01183
21716_1f1e8452-25a0-445f-b427-8e8634cf83b0, 2145.50000, 28258.00000, 0.00000, 1.98239, 4845.00000, 38913.25000, 0.39512, 3.65087, 4082.50000, 25666.50000, 0.00000, 2.61290, 0.00177, -0.00056, 0.00154, 0.97272, 1.00751, 0.98909, 0.00000, 0.39512, 0.00000, 0.98541, 0.96660, 1.00899
21716_f76e2b0c-2ec4-4321-abb0-4be16c846ddc, 2118.00000, 27819.50000, 0.00000, 2.11755, 4904.00000, 38694.75000, 0.75803, 3.47652, 4148.00000, 25463.25000, 0.00000, 2.61530, 0.00075, 0.00118, 0.00454, 0.95741, 0.99931, 0.97678, 0.00000, 0.75803, 0.00000, 1.05259, 0.92044, 1.00991
21716_50db558d-4e5e-438a-8a5a-553a00468605, 2046.00000, 28064.75000, 0.00000, 1.97699, 4885.00000, 39153.25000, 0.00000, 3.88988, 4095.00000, 25323.00000, 0.00000, 2.60484, -0.00194, 0.00062, 0.00211, 0.96923, 1.01343, 0.97278, 0.00000, 0.00000, 0.00000, 0.98272, 1.02988, 1.00588
21716_f5aef7cb-7ac8-4cf2-b4e7-4fdd72d538a8, 2072.50000, 28026.00000, 0.00000, 2.03008, 4860.00000, 39174.00000, 0.00000, 3.74048, 4066.00000, 25783.50000, 0.00000, 2.58397, -0.00095, -0.00012, 0.00078, 0.96680, 1.01478, 0.99521, 0.00000, 0.00000, 0.00000, 1.00911, 0.99032, 0.99781
21716_6f5e2153-53d6-4710-b038-37e90e4b1920, 2148.00000, 28290.75000, 0.00000, 2.05245, 4853.00000, 38259.00000, 0.00000, 3.79640, 4079.00000, 25424.50000, 0.00000, 2.59602, 0.00186, -0.00033, 0.00137, 0.97385, 0.98793, 0.97816, 0.00000, 0.00000, 0.00000, 1.02023, 1.00513, 1.00247
20770_b3bbac1a-3a41-44e6-b5c9-aa3e7432008d, 2870.00000, 27624.75000, 0.00000, 2.04747, 5535.00000, 39822.25000, 0.00000, 3.69097, 5396.00000, 24779.75000, 0.00000, 2.78611, 0.00039, -0.00276, -0.00092, 0.96421, 0.99435, 0.94298, 0.00000, 0.00000, 0.00000, 0.97934, 0.98504, 0.99752
20770_5ea50d29-7666-4ddd-aa9d-333b204a3be3, 2918.50000, 28260.75000, 0.00000, 2.10299, 5560.00000, 39509.75000, 0.00000, 3.71817, 5356.50000, 25114.00000, 0.00000, 2.75453, 0.00228, -0.00203, -0.00285, 0.98710, 0.98456, 0.96117, 0.00000, 0.00000, 0.00000, 1.00590, 0.99230, 0.98621
20770_63e6e59a-be71-4f00-b2c1-6e04523a9c6b, 2816.50000, 27524.00000, 0.00000, 2.05212, 5662.00000, 38919.50000, 0.00000, 3.70173, 5411.50000, 24065.50000, 0.00000, 2.79566, -0.00169, 0.00093, -0.00017, 0.96237, 0.96449, 0.90748, 0.00000, 0.00000, 0.00000, 0.98157, 0.98791, 1.00094
20770_73a33162-d3aa-4f14-ab10-ee3c26a7bd0b, 2973.50000, 28534.75000, 0.00000, 2.02851, 5596.50000, 38499.25000, 0.00000, 3.69256, 5425.50000, 23226.50000, 0.00000, 2.77513, 0.00442, -0.00097, 0.00051, 0.99563, 0.95420, 0.86599, 0.00000, 0.00000, 0.00000, 0.97027, 0.98546, 0.99359
20770_00f35543-db6b-4200-b370-91e4e8f99d02, 2877.50000, 30405.50000, 0.00000, 2.02273, 5663.50000, 37593.75000, 0.00000, 3.71014, 5439.00000, 22592.50000, 0.00000, 2.78308, 0.00068, 0.00097, 0.00117, 1.07223, 0.92600, 0.83449, 0.00000, 0.00000, 0.00000, 0.96751, 0.99016, 0.99644
