plate,well-row,well-column,id_mixture,id_chemical         ,compound common name,SMILES,cherry_testname     ,cherry-error-code     ,cherry-initial-fluorescence,cherry-final-fluorescence,cherry-lagtime2,cherry-doubletime  ,sapphire_testname  ,sapphire-error-code  ,sapphire-initial-fluorescence,sapphire-final-fluorescence,sapphire-lagtime2,sapphire-doubletime,venus_testname     ,venus-error-code    ,venus-initial-fluorescence,venus-final-fluorescence,venus-lagtime2   ,venus-doubletime   ,plate layout,study,volume,concentration
3719,A,2,201000000000,510,Methotrexate,CN(Cc1cnc2nc(N)nc(N)c2n1)c3ccc(cc3)C(=O)N[C@H](CCC(=O)O)C(=O)O,CHERRY580X384,0,775,24386,1.55878,1.98371,SAPPHIRE405X384,0,2825,54764.5,3.10582,3.0882,VENUS500X384,0,1112,12496,1.4394,2.99822,2273,1704,2.5,0.5
3719,A,3,201000000000,510,Methotrexate,CN(Cc1cnc2nc(N)nc(N)c2n1)c3ccc(cc3)C(=O)N[C@H](CCC(=O)O)C(=O)O,CHERRY580X384,0,777,24557,0.839786,2.23878,SAPPHIRE405X384,0,2703,54537,2.90575,3.08739,VENUS500X384,0,1056,12484,1.03481,2.9604,2273,1704,5,1
3719,A,4,201000000000,510,Methotrexate,CN(Cc1cnc2nc(N)nc(N)c2n1)c3ccc(cc3)C(=O)N[C@H](CCC(=O)O)C(=O)O,CHERRY580X384,0,672,25519,0.51594,2.30286,SAPPHIRE405X384,0,2692,51988.5,3.12689,3.08432,VENUS500X384,0,1086,12802,1.14048,3.09286,2273,1704,12.5,2.5
3719,A,5,201000000000,510,Methotrexate,CN(Cc1cnc2nc(N)nc(N)c2n1)c3ccc(cc3)C(=O)N[C@H](CCC(=O)O)C(=O)O,CHERRY580X384,0,785,24980,0.705426,2.29286,SAPPHIRE405X384,0,2756,52857,3.08722,3.06314,VENUS500X384,0,1078,12508,1.52328,2.75948,2273,1704,25,5
3719,A,6,201000000000,510,Methotrexate,CN(Cc1cnc2nc(N)nc(N)c2n1)c3ccc(cc3)C(=O)N[C@H](CCC(=O)O)C(=O)O,CHERRY580X384,0,810,24315.5,1.1551,2.14181,SAPPHIRE405X384,0,2771,49746,3.14688,3.06368,VENUS500X384,0,1095,12091.5,1.01976,2.96707,2273,1704,50,10
3719,E,1,201000000000,510,Methotrexate,CN(Cc1cnc2nc(N)nc(N)c2n1)c3ccc(cc3)C(=O)N[C@H](CCC(=O)O)C(=O)O,CHERRY580X384,0,810,25554,1.10184,2.22062,SAPPHIRE405X384,0,2752,52338,3.0846,3.10601,VENUS500X384,0,1101,12644,1.06193,3.03185,2273,1704,25,5
3719,E,2,201000000000,510,Methotrexate,CN(Cc1cnc2nc(N)nc(N)c2n1)c3ccc(cc3)C(=O)N[C@H](CCC(=O)O)C(=O)O,CHERRY580X384,0,860,23704,1.27952,2.18618,SAPPHIRE405X384,0,2752,48686,3.18684,3.09307,VENUS500X384,0,1136,11510.5,1.57912,3.00332,2273,1704,50,10
3719,E,22,201000000000,510,Methotrexate,CN(Cc1cnc2nc(N)nc(N)c2n1)c3ccc(cc3)C(=O)N[C@H](CCC(=O)O)C(=O)O,CHERRY580X384,0,804,20957,1.53104,2.08262,SAPPHIRE405X384,0,2748,50004,2.94834,3.23705,VENUS500X384,0,1096,10820,1.1234,3.04269,2273,1704,2.5,0.5
3719,E,23,201000000000,510,Methotrexate,CN(Cc1cnc2nc(N)nc(N)c2n1)c3ccc(cc3)C(=O)N[C@H](CCC(=O)O)C(=O)O,CHERRY580X384,0,852,21836,1.38706,2.13929,SAPPHIRE405X384,0,2786,50301,3.0033,3.15576,VENUS500X384,0,1125,11588,1.6133,2.83693,2273,1704,5,1
3719,E,24,201000000000,510,Methotrexate,CN(Cc1cnc2nc(N)nc(N)c2n1)c3ccc(cc3)C(=O)N[C@H](CCC(=O)O)C(=O)O,CHERRY580X384,0,865,23528.5,1.62667,2.07245,SAPPHIRE405X384,0,2708,51565,2.8216,3.24552,VENUS500X384,0,1135,11963.5,1.22379,3.04343,2273,1704,12.5,2.5
3719,I,18,201000000000,510,Methotrexate,CN(Cc1cnc2nc(N)nc(N)c2n1)c3ccc(cc3)C(=O)N[C@H](CCC(=O)O)C(=O)O,CHERRY580X384,0,697,20718,1.3799,2.00164,SAPPHIRE405X384,0,2689,49208,3.30341,3.04212,VENUS500X384,0,1066,10622,1.70868,2.77782,2273,1704,2.5,0.5
3719,I,19,201000000000,510,Methotrexate,CN(Cc1cnc2nc(N)nc(N)c2n1)c3ccc(cc3)C(=O)N[C@H](CCC(=O)O)C(=O)O,CHERRY580X384,0,614,21598,1.05688,2.02547,SAPPHIRE405X384,0,2604,48192,3.05164,3.21032,VENUS500X384,0,1097,10986.5,1.70497,2.94127,2273,1704,5,1
3719,I,20,201000000000,510,Methotrexate,CN(Cc1cnc2nc(N)nc(N)c2n1)c3ccc(cc3)C(=O)N[C@H](CCC(=O)O)C(=O)O,CHERRY580X384,0,809,22249,1.8804,2.04053,SAPPHIRE405X384,0,2644,47397,3.31904,3.05027,VENUS500X384,0,1047,10973,1.69339,2.89618,2273,1704,12.5,2.5
3719,I,21,201000000000,510,Methotrexate,CN(Cc1cnc2nc(N)nc(N)c2n1)c3ccc(cc3)C(=O)N[C@H](CCC(=O)O)C(=O)O,CHERRY580X384,0,721,22044,1.37739,2.03357,SAPPHIRE405X384,0,2648,47129.5,3.19859,3.06665,VENUS500X384,0,1100,10855.5,1.7409,2.94011,2273,1704,25,5
3719,I,22,201000000000,510,Methotrexate,CN(Cc1cnc2nc(N)nc(N)c2n1)c3ccc(cc3)C(=O)N[C@H](CCC(=O)O)C(=O)O,CHERRY580X384,0,673,20599,0.833954,2.2583,SAPPHIRE405X384,0,2694,45428,3.15385,3.09359,VENUS500X384,0,1102,10530,1.62775,2.95077,2273,1704,50,10
