id_chemical,cherry-initial-fluorescence,cherry-final-fluorescence,cherry-lagtime2,cherry-doubletime,sapphire-initial-fluorescence,sapphire-final-fluorescence,sapphire-lagtime2,sapphire-doubletime,venus-initial-fluorescence,venus-final-fluorescence,venus-lagtime2,venus-doubletime,F-Cherry,F-Sapphire,F-Venus,HitRatio-Cherry,HitRatio-Sapphire,HitRatio-Venus,MIY-Cherry,MIY-Sapphire,MIY-Venus,DT-Cherry,DT-Sapphire,DT-Venus
20110_469b36d2-2d5a-4379-9fb9-597cf0a47b9e, 1954.50000, 44467.00000, 0.60662, 1.87155, 4269.00000, 73865.00000, 1.41343, 3.30767, 3827.50000, 29785.00000, 1.21839, 2.54209, -0.00012, 0.00063, 0.00050, 0.97988, 1.03740, 0.96285, 0.60662, 0.29004, 0.03725, 0.98592, 1.02276, 1.05144
20110_cf24208c-357a-4154-972a-e1812d24ce30, 2175.50000, 45134.50000, 1.06328, 1.85790, 4301.50000, 69317.00000, 1.44273, 3.22626, 3789.50000, 30470.00000, 0.60192, 2.89058, 0.00498, 0.00112, -0.00091, 0.99017, 0.96913, 0.98967, 1.06328, 0.31935, -0.57921, 0.97873, 0.99759, 1.19557
20110_171b8b56-9160-4c59-8750-edd5fb76c765, 1991.00000, 42948.75000, 0.00000, 2.38086, 4229.50000, 73621.00000, 2.03099, 3.43078, 3864.50000, 31499.50000, 1.03464, 3.31281, 0.00073, 0.00004, 0.00187, 0.94404, 1.03435, 1.02508, 0.00000, 0.90760, -0.14650, 1.25423, 1.06083, 1.37021
20110_7e46b26d-2ad1-4d02-810a-f1cb93c37ab6, 2022.00000, 33007.75000, 0.00000, 4.07798, 4288.00000, 72222.25000, 3.95753, 4.83022, 3733.50000, 27941.00000, 1.30136, 6.65020, 0.00144, 0.00092, -0.00299, 0.71420, 1.01263, 0.89794, 0.00000, 2.83415, 0.12023, 2.14826, 1.49355, 2.75060
20110_19622c13-ae72-4911-9a5b-df46875780ee, 2001.50000, 5546.00000, 0.00000, 3.19599, 4283.50000, 8243.50000, 0.94681, 22.18470, 3776.00000, 4233.00000, 0.41463, 20.03660, 0.00097, 0.00085, -0.00141, 0.08170, 0.05903, 0.01695, 0.00000, -0.17658, -0.76650, 1.68364, 6.85973, 8.28736
20168_3323d089-62e6-4bc0-ad71-560f7418452f, 1913.50000, 45189.50000, 0.58976, 1.80300, 4124.50000, 69269.00000, 1.48198, 3.25850, 3735.00000, 28358.50000, 1.14268, 2.59255, -0.00106, -0.00152, -0.00293, 0.99748, 0.97105, 0.91337, 0.58976, 0.35860, -0.03845, 0.94981, 1.00756, 1.07231
20168_1731da49-30c9-4d88-9c7b-5aa80ab15d63, 2071.00000, 46948.25000, 0.54037, 2.01814, 4154.50000, 69092.00000, 1.56758, 3.52821, 3721.50000, 26757.00000, 0.92060, 3.12200, 0.00257, -0.00107, -0.00343, 1.03438, 0.96796, 0.85446, 0.54037, 0.44420, -0.26054, 1.06315, 1.09096, 1.29129
20168_fb924f4a-5d2c-4678-8c56-7e28d408be46, 1886.50000, 43725.75000, 0.00000, 2.44003, 4209.50000, 64666.50000, 2.47210, 3.89844, 3684.50000, 21723.50000, 0.60712, 4.23301, -0.00168, -0.00025, -0.00480, 0.96436, 0.90118, 0.66913, 0.00000, 1.34871, -0.57402, 1.28540, 1.20544, 1.75082
20168_3cada75f-d3a1-477e-ab1a-e662de3f5c04, 2038.00000, 39654.25000, 0.15050, 2.94426, 4136.50000, 57360.25000, 3.12429, 4.71466, 3642.00000, 18605.50000, 0.91493, 5.45362, 0.00181, -0.00134, -0.00638, 0.86702, 0.79336, 0.55505, 0.15050, 2.00091, -0.26620, 1.55102, 1.45782, 2.25568
20168_0ca8bf64-330e-43c4-8360-215f87f64949, 1819.50000, 35349.50000, 0.00000, 3.26931, 4073.50000, 51166.00000, 4.18312, 5.68295, 3579.00000, 16434.00000, 1.41047, 7.01237, -0.00323, -0.00228, -0.00872, 0.77284, 0.70196, 0.47684, 0.00000, 3.05974, 0.22934, 1.72226, 1.75722, 2.90039
