id_chemical,cherry-initial-fluorescence,cherry-final-fluorescence,cherry-lagtime2,cherry-doubletime,sapphire-initial-fluorescence,sapphire-final-fluorescence,sapphire-lagtime2,sapphire-doubletime,venus-initial-fluorescence,venus-final-fluorescence,venus-lagtime2,venus-doubletime,F-Cherry,F-Sapphire,F-Venus,HitRatio-Cherry,HitRatio-Sapphire,HitRatio-Venus,MIY-Cherry,MIY-Sapphire,MIY-Venus,DT-Cherry,DT-Sapphire,DT-Venus,Label
21400,2087.50000,106799.50000,0.00000,2.02430,4274.00000,100294.00000,1.49048,3.08993,3828.50000,68885.75000,0.70859,2.58804,0.00295,0.00071,0.00054,2.41353,1.43128,2.41319,0.00000,0.36710,-0.47254,1.06639,0.95544,1.07044,Inactive
21400,2172.00000,128205.00000,0.41610,2.43948,4248.00000,109661.00000,2.42316,3.26983,3686.50000,84215.50000,1.26185,2.99369,0.00490,0.00032,-0.00473,2.90496,1.57129,2.98709,0.41610,1.29978,0.08071,1.28511,1.01106,1.23823,Inactive
21625,2004.00000,45561.00000,0.65813,1.79981,4230.00000,72646.00000,1.14762,3.20961,3762.00000,31747.50000,1.13774,2.40940,0.00103,0.00005,-0.00193,1.00395,1.01981,1.03808,0.65813,0.02424,-0.04339,0.94813,0.99244,0.99655,Inactive
21625,1957.00000,45193.25000,0.00000,2.05421,4233.00000,71352.00000,1.24542,3.25284,3799.50000,31003.00000,1.07548,2.49932,-0.00006,0.00010,-0.00054,0.99656,1.00048,1.00907,0.00000,0.12204,-0.10566,1.08215,1.00581,1.03374,Inactive
21625,2055.00000,44985.75000,0.74427,1.71655,4243.50000,70731.00000,1.34540,3.18829,3832.00000,30172.75000,1.09344,2.47638,0.00220,0.00025,0.00067,0.98952,0.99107,0.97707,0.74427,0.22202,-0.08769,0.90427,0.98585,1.02426,Inactive
21625,2011.50000,44755.00000,0.00000,1.92190,4290.50000,70636.00000,1.20662,3.23738,3885.00000,30122.50000,1.17241,2.39952,0.00120,0.00095,0.00263,0.98520,0.98895,0.97324,0.00000,0.08323,-0.00873,1.01245,1.00103,0.99247,Inactive
21625,1997.50000,45294.25000,1.40070,1.52644,4225.00000,71017.00000,1.05331,3.27722,3868.50000,30001.00000,0.59690,2.71088,0.00088,-0.00002,0.00202,0.99795,0.99561,0.96934,1.40070,-0.07007,-0.58423,0.80412,1.01335,1.12125,Inactive
21658,2029.00000,45735.25000,0.00000,1.92823,4250.50000,69106.75000,1.12328,3.25695,3808.00000,30660.75000,1.16261,2.43582,0.00160,0.00036,-0.00022,1.00739,0.96675,0.99606,0.00000,-0.00010,-0.01853,1.01579,1.00708,1.00748,Inactive
21658,2076.00000,49066.00000,0.74944,1.67453,4221.00000,68778.75000,1.28053,3.17778,3834.00000,31751.00000,0.62288,2.63213,0.00269,-0.00008,0.00074,1.08308,0.96230,1.03554,0.74944,0.15715,-0.55825,0.88213,0.98260,1.08868,Inactive
21658,1901.00000,53388.50000,1.00352,1.74825,4202.00000,67467.50000,1.67487,3.07660,3721.50000,32427.25000,1.14539,2.51690,-0.00135,-0.00037,-0.00343,1.18674,0.94304,1.06479,1.00352,0.55149,-0.03575,0.92097,0.95131,1.04102,Inactive
21658,1964.50000,62222.25000,1.59989,2.15747,4011.00000,62749.50000,3.19942,3.36218,3457.00000,32864.00000,1.71208,3.10827,0.00012,-0.00321,-0.01324,1.38889,0.87556,1.09080,1.59989,2.07604,0.53095,1.13655,1.03962,1.28562,Inactive
20110,1507.50000,34254.75000,0.53017,1.95136,3169.50000,66840.75000,1.18317,3.01330,3167.50000,30590.50000,1.04222,2.40609,0.00296,0.00039,-0.00190,0.94189,1.00269,0.97146,-0.43328,-0.07279,-0.02819,1.05432,1.00587,0.97784,Inactive
20110,1345.50000,33756.25000,0.00000,2.00816,3188.50000,67026.75000,1.17392,3.06268,3296.00000,30682.75000,0.92018,2.62377,-0.00170,0.00069,0.00266,0.93221,1.00532,0.97017,-0.96345,-0.08205,-0.15022,1.08501,1.02235,1.06630,Inactive
20110,1503.00000,39220.00000,0.00000,2.48793,3203.50000,89804.00000,1.90804,3.08542,3307.00000,38752.75000,0.33213,3.36087,0.00283,0.00092,0.00305,1.08483,1.36378,1.25566,-0.96345,0.65208,-0.73828,1.34423,1.02994,1.36586,Inactive
20153,1364.00000,58832.50000,0.66343,1.92579,3136.00000,85863.75000,1.45550,2.97327,3198.50000,50085.25000,0.80622,2.59889,-0.00116,-0.00014,-0.00080,1.65293,1.30279,1.66096,-0.30002,0.19953,-0.26418,1.04051,0.99250,1.05619,Inactive
20153,1451.50000,70438.75000,0.26603,2.04013,3089.00000,91427.25000,1.51508,2.95248,3188.00000,57611.25000,0.58243,2.64103,0.00135,-0.00088,-0.00117,1.98423,1.39115,1.92794,-0.69742,0.25911,-0.48798,1.10228,0.98557,1.07331,Inactive
20153,1430.50000,80589.00000,0.41525,2.02135,3188.50000,91894.50000,1.49865,2.99361,3191.00000,68088.75000,0.51650,2.65792,0.00075,0.00069,-0.00106,2.27678,1.39694,2.29899,-0.54820,0.24269,-0.55390,1.09213,0.99929,1.08018,Inactive
20153,1410.00000,84650.25000,0.00000,2.01290,3191.00000,89392.00000,1.54461,2.98874,3270.50000,69194.50000,0.67381,2.63250,0.00016,0.00072,0.00175,2.39418,1.35749,2.33535,-0.96345,0.28865,-0.39659,1.08757,0.99767,1.06985,Inactive
20153,1528.50000,88865.00000,0.42376,2.01648,3170.00000,93808.50000,1.41775,3.00451,3312.50000,74873.75000,0.54412,2.69060,0.00357,0.00039,0.00324,2.51200,1.42737,2.53505,-0.53969,0.16178,-0.52629,1.08951,1.00293,1.09346,Inactive
20248,1178.00000,38824.50000,0.00000,1.85616,3131.00000,66001.50000,1.51258,2.94019,3266.50000,31288.75000,1.06400,2.49968,-0.00651,-0.00022,0.00161,1.08280,0.99008,0.99268,-0.96345,0.25661,-0.00641,1.00288,0.98146,1.01587,Inactive
20248,1515.00000,39274.50000,0.55921,2.02266,3124.50000,63952.00000,1.33144,3.01999,3239.00000,29470.50000,1.17995,2.37384,0.00318,-0.00032,0.00064,1.08605,0.95791,0.92925,-0.40424,0.07547,0.10954,1.09285,1.00810,0.96473,Inactive
20248,1505.50000,40490.75000,1.09073,1.81420,3160.50000,60638.00000,1.46930,2.92337,3277.00000,28304.75000,0.93579,2.52134,0.00290,0.00024,0.00198,1.12130,0.90515,0.88660,0.12728,0.21334,-0.13462,0.98021,0.97585,1.02467,Inactive
20248,1394.00000,40565.25000,0.77328,1.90820,3150.00000,54450.50000,1.54273,2.88631,3239.50000,26501.50000,0.85713,2.65231,-0.00030,0.00008,0.00066,1.12665,0.80788,0.82405,-0.19017,0.28676,-0.21328,1.03100,0.96348,1.07790,Inactive
20248,1418.50000,34908.25000,0.00000,2.09619,3199.00000,45033.50000,1.46935,2.89003,3318.00000,21082.50000,0.93821,2.58181,0.00040,0.00085,0.00344,0.96324,0.65881,0.62931,-0.96345,0.21338,-0.13219,1.13257,0.96472,1.04925,Inactive
20414,1325.50000,55544.25000,0.00000,2.29334,3053.00000,73525.75000,2.83574,2.90930,3068.50000,42849.25000,1.53457,2.77302,-0.00227,-0.00145,-0.00540,1.55946,1.10980,1.40923,-0.96345,1.57977,0.46416,1.23909,0.97115,1.12696,Inactive
20414,1365.00000,74848.50000,2.13794,2.41855,3065.00000,76594.00000,4.86736,3.18267,3125.00000,53017.00000,3.54935,3.01677,-0.00114,-0.00126,-0.00340,2.11355,1.15793,1.76742,1.17450,3.61140,2.47894,1.30675,1.06240,1.22602,Inactive
20414,1376.00000,80473.75000,3.27150,4.26934,3065.00000,88552.50000,8.36788,4.84176,2994.00000,71609.00000,7.56015,4.69510,-0.00082,-0.00126,-0.00804,2.27503,1.34625,2.43068,2.30805,7.11192,6.48974,2.30673,1.61623,1.90809,Active
20484,1358.00000,38330.50000,0.00000,1.95883,3105.50000,66575.25000,1.21676,3.04415,3217.00000,33231.50000,1.03987,2.50286,-0.00134,-0.00062,-0.00014,1.06341,0.99952,1.06326,-0.96345,-0.03921,-0.03053,1.05836,1.01616,1.01716,Inactive
20484,1355.50000,37384.00000,1.06646,1.72519,3097.00000,65651.25000,1.39398,2.95014,3189.00000,32065.25000,1.04284,2.47332,-0.00141,-0.00076,-0.00113,1.03626,0.98510,1.02294,0.10301,0.13802,-0.02757,0.93212,0.98478,1.00516,Inactive
20484,1361.50000,36363.50000,0.00000,2.03951,3138.50000,67032.25000,1.42112,2.94846,3258.00000,31869.00000,0.56127,2.68279,-0.00124,-0.00010,0.00131,1.00674,1.00620,1.01354,-0.96345,0.16515,-0.50914,1.10195,0.98423,1.09029,Inactive
20484,1379.00000,38155.75000,0.00000,2.11404,3131.00000,67152.25000,1.28590,3.00880,3157.50000,32231.50000,1.01466,2.47823,-0.00073,-0.00022,-0.00225,1.05778,1.00820,1.02994,-0.96345,0.02993,-0.05574,1.14222,1.00437,1.00715,Inactive
20484,1334.00000,37567.75000,0.00000,1.98551,3105.50000,66375.50000,1.24499,3.02783,3262.00000,32429.00000,1.12990,2.42860,-0.00203,-0.00062,0.00145,1.04217,0.99637,1.03324,-0.96345,-0.01097,0.05950,1.07277,1.01072,0.98699,Inactive
20525,1359.50000,37852.50000,0.42713,1.95517,3125.00000,66653.00000,1.29997,3.03511,3134.00000,32313.25000,0.92824,2.63539,-0.00129,-0.00031,-0.00308,1.04962,1.00044,1.03367,-0.53632,0.04401,-0.14217,1.05638,1.01315,1.07102,Inactive
