plate,well-row,well-column,id_mixture,id_chemical         ,compound common name,SMILES,cherry_testname     ,cherry-error-code     ,cherry-initial-fluorescence,cherry-final-fluorescence,cherry-lagtime2,cherry-doubletime  ,sapphire_testname  ,sapphire-error-code  ,sapphire-initial-fluorescence,sapphire-final-fluorescence,sapphire-lagtime2,sapphire-doubletime,venus_testname     ,venus-error-code    ,venus-initial-fluorescence,venus-final-fluorescence,venus-lagtime2   ,venus-doubletime   ,plate layout,study,volume,concentration
3711,F,3,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1442,15412,0.736493,2.55648,SAPPHIRE405X384,0,3500,37241,2.9858,3.79694,VENUS500X384,0,2156,14831.5,1.02669,2.79013,2241,1672,0,0
3711,F,4,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1324,15596,1.05937,2.3591,SAPPHIRE405X384,0,3529,37942,3.02567,3.78156,VENUS500X384,0,2098,14536.5,0.867528,2.859,2241,1672,0,0
3711,F,10,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1564,14056,2.23659,2.11092,SAPPHIRE405X384,0,3414,37833,2.98018,3.65604,VENUS500X384,0,2082,14540,0,3.03162,2241,1672,0,0
3711,F,11,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1368,15103,1.20452,2.31648,SAPPHIRE405X384,0,3431,36817.5,2.93517,3.74832,VENUS500X384,0,2104,14207,1.15641,2.59085,2241,1672,0,0
3711,F,12,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1426,14444,0.972243,2.4614,SAPPHIRE405X384,0,3532,37404,2.99452,3.73888,VENUS500X384,0,2100,13790,1.0043,2.6846,2241,1672,0,0
3711,F,18,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1357,14537,0.683177,2.47474,SAPPHIRE405X384,0,3359,36983,2.85603,3.74392,VENUS500X384,0,2052,14039.5,1.19951,2.53364,2241,1672,0,0
3711,F,19,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1520,14570,1.51175,2.31549,SAPPHIRE405X384,0,3424,37798,3.03795,3.51273,VENUS500X384,0,2092,14008,0,3.0606,2241,1672,0,0
3711,F,20,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1412,14240,1.26823,2.30601,SAPPHIRE405X384,0,3424,36578.5,2.91729,3.73345,VENUS500X384,0,2095,13718,0,3.50208,2241,1672,0,0
3711,G,1,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1292,15989.5,1.54484,2.17052,SAPPHIRE405X384,0,3630,39549,2.9481,3.96168,VENUS500X384,0,2096,15110,0.864785,2.83279,2241,1672,0,0
3711,G,2,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1385,15294,1.11735,2.32615,SAPPHIRE405X384,0,3554,38299.5,2.85035,3.77725,VENUS500X384,0,2182,14525.5,1.06909,2.63551,2241,1672,0,0
3711,G,3,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1448,14912,1.01228,2.48126,SAPPHIRE405X384,0,3519,38314,2.96166,3.57931,VENUS500X384,0,2165,14759,0.989205,2.78929,2241,1672,0,0
3711,G,9,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1730,15926,1.72972,2.29409,SAPPHIRE405X384,0,3441,38686,2.86726,3.68392,VENUS500X384,0,2132,14882,1.10727,2.60418,2241,1672,0,0
3711,G,10,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1478,14874,1.10217,2.42508,SAPPHIRE405X384,0,3450,37848.5,2.77509,3.73897,VENUS500X384,0,2147,14377,0,3.06458,2241,1672,0,0
3711,G,11,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1402,14885,0.929734,2.41394,SAPPHIRE405X384,0,3467,38449,2.88129,3.74352,VENUS500X384,0,2111,14749.5,1.18189,2.52689,2241,1672,0,0
3711,G,17,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1456,15018,1.72972,2.15419,SAPPHIRE405X384,0,3390,38726,2.87672,3.63551,VENUS500X384,0,2099,14981,0,2.92853,2241,1672,0,0
3711,G,18,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1437,15033,0.843687,2.46864,SAPPHIRE405X384,0,3488,38469,2.84971,3.75692,VENUS500X384,0,2145,14558.5,1.12223,2.58595,2241,1672,0,0
3711,G,19,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1641,15759,1.98303,2.21844,SAPPHIRE405X384,0,3414,38383,2.8065,3.72267,VENUS500X384,0,2091,14776,1.06228,2.59816,2241,1672,0,0
3711,H,1,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1355,16086,1.00484,2.36307,SAPPHIRE405X384,0,3562,39304,2.91403,3.76368,VENUS500X384,0,2172,15074.5,0.929508,2.82169,2241,1672,0,0
3711,H,2,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1410,15848,1.32728,2.2996,SAPPHIRE405X384,0,3554,37886,3.01677,3.6419,VENUS500X384,0,2136,14661.5,1.0076,2.79753,2241,1672,0,0
3711,H,8,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1480,15188,1.25437,2.36405,SAPPHIRE405X384,0,3531,38036,3.04611,3.7351,VENUS500X384,0,2169,14808,1.02276,2.80783,2241,1672,0,0
3711,H,9,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1568,15334.5,2.13735,2.11579,SAPPHIRE405X384,0,3552,38108,2.92866,3.77741,VENUS500X384,0,2177,14786,1.19355,2.61007,2241,1672,0,0
3711,H,10,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1475,14902,1.57434,2.27635,SAPPHIRE405X384,0,3456,38683,2.82963,3.76492,VENUS500X384,0,2151,15038.5,1.04457,2.6444,2241,1672,0,0
3711,H,16,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1449,15316,1.12992,2.42592,SAPPHIRE405X384,0,3367,37648,2.9433,3.69579,VENUS500X384,0,2099,14649,0.942134,2.7779,2241,1672,0,0
3711,H,17,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1410,14680,1.54873,2.1766,SAPPHIRE405X384,0,3471,38546.5,2.92644,3.6477,VENUS500X384,0,2136,14100,0,3.53088,2241,1672,0,0
3711,H,18,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1607,15763,1.76321,2.24515,SAPPHIRE405X384,0,3500,37833,3.03548,3.69798,VENUS500X384,0,2142,14662,1.30688,2.5215,2241,1672,0,0
3711,H,24,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1485,15837,0.861564,2.46415,SAPPHIRE405X384,0,3636,39740.5,2.91173,3.74011,VENUS500X384,0,2221,15033,0,3.09777,2241,1672,0,0
3711,I,1,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1280,15928,0,2.74478,SAPPHIRE405X384,0,3497,37042.5,3.18888,3.79064,VENUS500X384,0,2048,14953,0.877876,2.86251,2241,1672,0,0
3711,I,7,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1428,15234,1.32968,2.31412,SAPPHIRE405X384,0,3464,37711,2.96389,3.75668,VENUS500X384,0,2090,14581,0.987867,2.76685,2241,1672,0,0
3711,I,8,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1404,15785.5,1.79402,2.18595,SAPPHIRE405X384,0,3377,37872,2.99916,3.69231,VENUS500X384,0,2071,15041,0,3.05788,2241,1672,0,0
3711,I,9,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1469,16704,1.72972,2.18482,SAPPHIRE405X384,0,3360,37732,2.97306,3.7838,VENUS500X384,0,2060,15257,0.915116,2.82327,2241,1672,0,0
3711,I,15,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1406,15061.5,1.44394,2.28461,SAPPHIRE405X384,0,3305,37084,3.00648,3.66712,VENUS500X384,0,2023,14635.5,1.06743,2.70742,2241,1672,0,0
3711,I,16,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1372,13200,1.72972,1.95463,SAPPHIRE405X384,0,3238,37156,2.70244,3.61576,VENUS500X384,0,1982,13412,0,3.03873,2241,1672,0,0
3711,I,17,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1610,15228,1.71887,2.36241,SAPPHIRE405X384,0,3426,38234,3.12286,3.62859,VENUS500X384,0,2071,14598,1.05085,2.75014,2241,1672,0,0
3711,I,23,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1220,16466,0.748053,2.31757,SAPPHIRE405X384,0,3501,38680,3.11173,3.68273,VENUS500X384,0,2052,15127,0.891799,2.80813,2241,1672,0,0
3711,I,24,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1395,16228,1.56221,2.24386,SAPPHIRE405X384,0,3448,38363,2.97899,3.7681,VENUS500X384,0,2084,15351,0.877997,2.85711,2241,1672,0,0
3711,J,6,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1352,15177,1.727,2.21809,SAPPHIRE405X384,0,3384,38077,3.17502,3.51968,VENUS500X384,0,2052,14840.5,0.97389,2.79155,2241,1672,0,0
3711,J,7,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1300,15241,1.5056,2.1999,SAPPHIRE405X384,0,3332,37100,3.03321,3.67729,VENUS500X384,0,2083,14643.5,1.00129,2.79994,2241,1672,0,0
3711,J,8,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1436,15955.5,1.46313,2.3104,SAPPHIRE405X384,0,3393,38425,2.98176,3.7242,VENUS500X384,0,2025,15020.5,0.864683,2.82333,2241,1672,0,0
3711,J,14,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1268,14909.5,1.20676,2.30934,SAPPHIRE405X384,0,3404,38518,3.04583,3.70129,VENUS500X384,0,2009,14348,1.03568,2.77538,2241,1672,0,0
3711,J,15,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1243,15718,1.04725,2.29079,SAPPHIRE405X384,0,3225,38142,2.91148,3.68199,VENUS500X384,0,1953,14987,0.944942,2.73863,2241,1672,0,0
3711,J,16,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1391,15472,1.48989,2.27649,SAPPHIRE405X384,0,3274,36996.5,2.93849,3.74394,VENUS500X384,0,1972,14848,0,3.00525,2241,1672,0,0
3711,J,22,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1232,15874,1.23059,2.19409,SAPPHIRE405X384,0,3426,37104.5,2.97962,3.7466,VENUS500X384,0,2074,15063.5,0.913146,2.80497,2241,1672,0,0
3711,J,23,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1435,15876,1.62491,2.2937,SAPPHIRE405X384,0,3406,37852,2.90536,3.7593,VENUS500X384,0,2058,15045,0.9796,2.80411,2241,1672,0,0
