id_chemical,cherry-initial-fluorescence,cherry-final-fluorescence,cherry-lagtime2,cherry-doubletime,sapphire-initial-fluorescence,sapphire-final-fluorescence,sapphire-lagtime2,sapphire-doubletime,venus-initial-fluorescence,venus-final-fluorescence,venus-lagtime2,venus-doubletime,F-Cherry,F-Sapphire,F-Venus,HitRatio-Cherry,HitRatio-Sapphire,HitRatio-Venus,MIY-Cherry,MIY-Sapphire,MIY-Venus,DT-Cherry,DT-Sapphire,DT-Venus
20565_00f31028-c67d-43c1-bee3-539483a95fd9, 1759.50000, 46607.00000, 0.00000, 1.89240, 3322.00000, 63757.00000, 1.05997, 3.01626, 3894.00000, 20122.00000, 0.48370, 3.52695, -0.00137, 0.00031, -0.00081, 1.00883, 0.96341, 0.93313, 0.00000, -0.01896, -0.47993, 1.02709, 1.00917, 1.10709
20565_ba310c41-f896-4465-be26-8453542d7ce0, 2100.00000, 47266.00000, 0.58061, 1.77491, 3303.00000, 63511.25000, 1.01401, 2.98596, 3894.50000, 19772.25000, 0.49846, 3.38825, 0.00629, 0.00001, -0.00078, 1.01600, 0.95980, 0.91299, 0.58061, -0.06491, -0.46518, 0.96332, 0.99903, 1.06355
20565_2a6e530d-27bf-4cc5-b38d-cbf7336cfa00, 1733.00000, 46112.50000, 0.00000, 1.85610, 3267.00000, 62489.50000, 1.15510, 2.88858, 3858.50000, 18688.00000, 0.92948, 3.23599, -0.00197, -0.00057, -0.00285, 0.99831, 0.94408, 0.85271, 0.00000, 0.07617, -0.03415, 1.00739, 0.96645, 1.01576
20565_7f5ac038-d0f5-48a3-8573-82d442026c92, 1674.00000, 47953.50000, 0.00000, 1.84667, 3298.50000, 60443.00000, 1.05615, 2.96470, 3925.00000, 17030.50000, 1.01815, 3.16713, -0.00330, -0.00006, 0.00098, 1.04105, 0.91096, 0.75358, 0.00000, -0.02277, 0.05452, 1.00227, 0.99192, 0.99414
21163_bb3907ee-93c8-4ef7-841a-1893781ce57e, 1774.50000, 50481.00000, 1.42716, 1.53021, 3321.00000, 69961.00000, 1.06403, 2.95643, 3916.00000, 21869.00000, 0.94468, 3.26823, -0.00103, 0.00029, 0.00046, 1.09564, 1.06233, 1.03232, 1.42716, -0.01490, -0.01896, 0.83051, 0.98916, 1.02588
21163_765fd33c-84dd-4bd4-9447-b5602e9c8725, 1847.50000, 51562.00000, 1.14686, 1.75067, 3321.50000, 72287.00000, 1.04546, 2.95245, 3942.50000, 21898.00000, 0.94634, 3.24617, 0.00061, 0.00030, 0.00198, 1.11832, 1.09940, 1.03246, 1.14686, -0.03347, -0.01729, 0.95017, 0.98782, 1.01895
21163_60022d67-2ecc-4013-be8d-db7638a6d485, 1998.00000, 56067.50000, 0.75279, 1.95496, 3301.00000, 75825.75000, 1.49245, 2.88709, 3790.50000, 21679.00000, 0.78146, 3.41710, 0.00399, -0.00002, -0.00676, 1.21628, 1.15614, 1.02861, 0.75279, 0.41352, -0.18218, 1.06104, 0.96596, 1.07261
21163_4ecd2f1a-a119-4512-8092-eab1c0cb5ca2, 1783.50000, 61716.00000, 0.00000, 1.90159, 3318.50000, 76982.00000, 1.47755, 2.86864, 3882.50000, 22026.50000, 0.78458, 3.67125, -0.00083, 0.00026, -0.00147, 1.34817, 1.17429, 1.04330, 0.00000, 0.39863, -0.17905, 1.03208, 0.95978, 1.15238
21163_bd753b3b-1021-4b81-8bfd-c20aa58315c0, 1702.50000, 59823.25000, 0.00000, 2.08912, 3345.50000, 88384.25000, 1.48085, 2.93616, 3907.50000, 19061.00000, 0.54921, 4.38310, -0.00265, 0.00069, -0.00003, 1.30741, 1.35563, 0.87134, 0.00000, 0.40192, -0.41442, 1.13386, 0.98237, 1.37583
21216_5177bfa8-839f-437f-b84e-558494aab0c8, 1815.00000, 49433.00000, 0.66696, 1.75732, 3306.50000, 64984.00000, 1.09367, 2.96240, 3887.50000, 20560.00000, 0.97143, 3.16519, -0.00012, 0.00006, -0.00118, 1.07116, 0.98322, 0.95869, 0.66696, 0.01475, 0.00780, 0.95377, 0.99115, 0.99353
21216_8ab3b011-35dd-40e0-a609-452c8ecf7d73, 1825.50000, 46268.75000, 0.00000, 1.82876, 3379.50000, 66933.75000, 1.06307, 3.00634, 3894.50000, 20848.00000, 0.95438, 3.19024, 0.00011, 0.00123, -0.00078, 0.99974, 1.01314, 0.97484, 0.00000, -0.01586, -0.00925, 0.99255, 1.00586, 1.00140
