ID Chemical,Actual Class,J48 Prediction,NB Prediction,IBk5 Prediction,SVM Prediction
21134,Inactive,Inactive,Inactive,Inactive,Inactive
20214,Inactive,Inactive,Inactive,Inactive,Inactive
20366,Inactive,Inactive,Inactive,Inactive,Inactive
21592,Inactive,Inactive,Inactive,Inactive,Inactive
20567,Inactive,Inactive,Inactive,Inactive,Inactive
21467,Inactive,Inactive,Inactive,Inactive,Inactive
21335,Inactive,Inactive,Inactive,Inactive,Inactive
20370,Inactive,Inactive,Inactive,Inactive,Inactive
20715,Inactive,Inactive,Inactive,Inactive,Inactive
20371,Inactive,Inactive,Inactive,Inactive,Inactive
20755,Inactive,Inactive,Inactive,Inactive,Inactive
20372,Inactive,Inactive,Inactive,Inactive,Inactive
21436,Inactive,Inactive,Inactive,Inactive,Inactive
21225,Inactive,Inactive,Inactive,Inactive,Inactive
20876,Inactive,Inactive,Inactive,Inactive,Inactive
20035,Inactive,Inactive,Inactive,Inactive,Inactive
20883,Inactive,Inactive,Inactive,Inactive,Inactive
20377,Inactive,Inactive,Inactive,Inactive,Inactive
20051,Inactive,Inactive,Inactive,Inactive,Inactive
20378,Inactive,Inactive,Inactive,Inactive,Inactive
978,Inactive,Inactive,Inactive,Inactive,Inactive
20605,Inactive,Inactive,Inactive,Inactive,Inactive
21546,Inactive,Inactive,Inactive,Inactive,Inactive
20998,Inactive,Inactive,Inactive,Inactive,Inactive
20806,Inactive,Inactive,Inactive,Inactive,Inactive
20516,Inactive,Inactive,Inactive,Inactive,Inactive
21382,Inactive,Inactive,Inactive,Inactive,Inactive
21394,Inactive,Inactive,Inactive,Inactive,Inactive
20580,Inactive,Inactive,Inactive,Inactive,Inactive
21596,Inactive,Inactive,Inactive,Inactive,Inactive
21681,Inactive,Inactive,Inactive,Inactive,Inactive
21458,Inactive,Inactive,Inactive,Inactive,Inactive
20927,Inactive,Inactive,Inactive,Inactive,Inactive
20946,Inactive,Inactive,Inactive,Inactive,Inactive
21341,Inactive,Inactive,Inactive,Inactive,Inactive
21715,Inactive,Inactive,Inactive,Inactive,Inactive
21214,Inactive,Inactive,Inactive,Inactive,Inactive
20143,Inactive,Inactive,Inactive,Inactive,Inactive
21136,Inactive,Inactive,Inactive,Inactive,Inactive
21697,Inactive,Inactive,Inactive,Inactive,Inactive
20793,Inactive,Inactive,Inactive,Inactive,Inactive
20923,Inactive,Inactive,Inactive,Inactive,Inactive
20391,Inactive,Inactive,Inactive,Inactive,Inactive
21250,Inactive,Inactive,Inactive,Inactive,Inactive
20078,Inactive,Inactive,Inactive,Inactive,Inactive
21416,Inactive,Inactive,Inactive,Inactive,Inactive
21351,Inactive,Inactive,Inactive,Inactive,Inactive
21423,Inactive,Inactive,Inactive,Inactive,Inactive
20575,Inactive,Inactive,Inactive,Inactive,Inactive
20999,Inactive,Inactive,Inactive,Inactive,Inactive
21407,Inactive,Inactive,Inactive,Inactive,Inactive
20496,Inactive,Inactive,Inactive,Inactive,Inactive
21543,Inactive,Inactive,Inactive,Inactive,Inactive
20514,Inactive,Inactive,Inactive,Inactive,Inactive
21683,Inactive,Inactive,Inactive,Inactive,Inactive
21176,Inactive,Inactive,Inactive,Inactive,Inactive
20039,Inactive,Inactive,Inactive,Inactive,Inactive
21600,Inactive,Inactive,Inactive,Inactive,Inactive
20245,Inactive,Inactive,Inactive,Inactive,Inactive
20713,Inactive,Inactive,Inactive,Inactive,Inactive
21517,Inactive,Inactive,Inactive,Inactive,Inactive
20141,Inactive,Inactive,Inactive,Inactive,Inactive
20414,Inactive,Inactive,Inactive,Inactive,Inactive
20624,Inactive,Inactive,Inactive,Inactive,Inactive
20634,Inactive,Inactive,Inactive,Inactive,Inactive
20038,Inactive,Inactive,Inactive,Inactive,Inactive
21462,Inactive,Inactive,Inactive,Inactive,Inactive
21330,Inactive,Inactive,Inactive,Inactive,Inactive
21317,Inactive,Inactive,Inactive,Inactive,Inactive
21390,Inactive,Inactive,Inactive,Inactive,Inactive
21610,Inactive,Inactive,Inactive,Inactive,Inactive
20963,Inactive,Inactive,Inactive,Inactive,Inactive
20978,Inactive,Inactive,Inactive,Inactive,Inactive
20626,Inactive,Inactive,Inactive,Inactive,Inactive
21666,Inactive,Inactive,Inactive,Inactive,Inactive
20647,Inactive,Inactive,Inactive,Inactive,Inactive
20942,Inactive,Inactive,Inactive,Inactive,Inactive
20667,Inactive,Inactive,Inactive,Inactive,Inactive
21319,Inactive,Inactive,Inactive,Inactive,Inactive
20668,Inactive,Inactive,Inactive,Inactive,Inactive
20722,Inactive,Inactive,Inactive,Inactive,Inactive
20984,Inactive,Inactive,Inactive,Inactive,Inactive
20122,Inactive,Inactive,Inactive,Inactive,Inactive
20784,Inactive,Inactive,Inactive,Inactive,Inactive
20792,Inactive,Inactive,Inactive,Inactive,Inactive
21318,Inactive,Inactive,Inactive,Inactive,Inactive
21244,Inactive,Inactive,Inactive,Inactive,Inactive
21440,Inactive,Inactive,Inactive,Inactive,Inactive
21828,Inactive,Inactive,Inactive,Inactive,Inactive
21479,Inactive,Inactive,Inactive,Inactive,Inactive
20617,Inactive,Inactive,Inactive,Inactive,Inactive
20873,Inactive,Inactive,Inactive,Inactive,Inactive
20162,Inactive,Inactive,Inactive,Inactive,Inactive
21608,Inactive,Inactive,Inactive,Inactive,Inactive
20661,Inactive,Inactive,Inactive,Inactive,Inactive
21171,Inactive,Inactive,Inactive,Inactive,Inactive
21275,Inactive,Inactive,Inactive,Inactive,Inactive
20453,Inactive,Inactive,Inactive,Inactive,Inactive
21559,Inactive,Inactive,Inactive,Inactive,Inactive
20398,Inactive,Inactive,Inactive,Inactive,Inactive
20076,Inactive,Inactive,Inactive,Inactive,Inactive
20472,Inactive,Inactive,Inactive,Inactive,Inactive
21169,Inactive,Inactive,Inactive,Inactive,Inactive
21185,Inactive,Inactive,Inactive,Inactive,Inactive
21196,Inactive,Inactive,Inactive,Inactive,Inactive
20750,Inactive,Inactive,Inactive,Inactive,Inactive
21321,Inactive,Inactive,Inactive,Inactive,Inactive
20826,Inactive,Inactive,Inactive,Inactive,Inactive
21128,Inactive,Inactive,Inactive,Inactive,Inactive
20979,Inactive,Inactive,Inactive,Inactive,Inactive
20758,Inactive,Inactive,Inactive,Inactive,Inactive
20987,Inactive,Inactive,Inactive,Inactive,Inactive
21190,Inactive,Inactive,Inactive,Inactive,Inactive
21006,Inactive,Inactive,Inactive,Inactive,Inactive
21006,Inactive,Inactive,Inactive,Inactive,Inactive
21266,Inactive,Inactive,Inactive,Inactive,Inactive
21085,Inactive,Inactive,Inactive,Inactive,Inactive
17414,Inactive,Inactive,Inactive,Inactive,Inactive
20795,Inactive,Inactive,Inactive,Inactive,Inactive
20723,Inactive,Inactive,Inactive,Inactive,Inactive
21355,Inactive,Inactive,Inactive,Inactive,Inactive
21163,Inactive,Inactive,Inactive,Inactive,Inactive
20443,Inactive,Inactive,Inactive,Inactive,Inactive
21334,Inactive,Inactive,Inactive,Inactive,Inactive
21400,Inactive,Inactive,Inactive,Inactive,Inactive
20036,Inactive,Inactive,Inactive,Inactive,Inactive
20611,Inactive,Inactive,Inactive,Inactive,Inactive
20903,Inactive,Inactive,Inactive,Inactive,Inactive
21841,Inactive,Inactive,Inactive,Inactive,Inactive
21702,Inactive,Inactive,Inactive,Inactive,Inactive
21320,Inactive,Inactive,Inactive,Inactive,Inactive
20108,Inactive,Inactive,Inactive,Inactive,Inactive
21418,Inactive,Inactive,Inactive,Inactive,Inactive
20316,Inactive,Inactive,Inactive,Inactive,Inactive
21347,Inactive,Inactive,Inactive,Inactive,Inactive
20169,Inactive,Inactive,Inactive,Inactive,Inactive
21115,Inactive,Inactive,Inactive,Inactive,Inactive
20740,Inactive,Inactive,Inactive,Inactive,Inactive
21116,Inactive,Inactive,Inactive,Inactive,Inactive
20684,Inactive,Inactive,Inactive,Inactive,Inactive
21127,Inactive,Inactive,Inactive,Inactive,Inactive
21405,Inactive,Inactive,Inactive,Inactive,Inactive
21088,Inactive,Inactive,Inactive,Inactive,Inactive
21484,Inactive,Inactive,Inactive,Inactive,Inactive
21139,Inactive,Inactive,Inactive,Inactive,Inactive
21507,Inactive,Inactive,Inactive,Inactive,Inactive
20638,Inactive,Inactive,Inactive,Inactive,Inactive
21174,Inactive,Inactive,Inactive,Inactive,Inactive
21453,Inactive,Inactive,Inactive,Inactive,Inactive
21187,Inactive,Inactive,Inactive,Inactive,Inactive
20434,Inactive,Inactive,Inactive,Inactive,Inactive
20917,Inactive,Inactive,Inactive,Inactive,Inactive
20330,Inactive,Inactive,Inactive,Inactive,Inactive
20457,Inactive,Inactive,Inactive,Inactive,Inactive
21606,Inactive,Inactive,Inactive,Inactive,Inactive
21051,Inactive,Inactive,Inactive,Inactive,Inactive
20865,Inactive,Inactive,Inactive,Inactive,Inactive
21052,Inactive,Inactive,Inactive,Inactive,Inactive
20156,Inactive,Inactive,Inactive,Inactive,Inactive
20260,Inactive,Inactive,Inactive,Inactive,Inactive
20119,Inactive,Inactive,Inactive,Inactive,Inactive
20445,Inactive,Inactive,Inactive,Inactive,Inactive
21540,Inactive,Inactive,Inactive,Inactive,Inactive
20432,Inactive,Inactive,Inactive,Inactive,Inactive
21505,Inactive,Inactive,Inactive,Inactive,Inactive
21619,Inactive,Inactive,Inactive,Inactive,Inactive
21211,Inactive,Inactive,Inactive,Inactive,Inactive
21649,Inactive,Inactive,Inactive,Inactive,Inactive
21229,Inactive,Inactive,Inactive,Inactive,Inactive
21883,Inactive,Inactive,Inactive,Inactive,Inactive
21883,Inactive,Inactive,Inactive,Inactive,Inactive
21237,Inactive,Inactive,Inactive,Inactive,Inactive
21253,Inactive,Inactive,Inactive,Inactive,Inactive
21252,Inactive,Inactive,Inactive,Inactive,Inactive
21647,Inactive,Inactive,Inactive,Inactive,Inactive
21013,Inactive,Inactive,Inactive,Inactive,Inactive
21254,Inactive,Inactive,Inactive,Inactive,Inactive
17412,Inactive,Inactive,Inactive,Inactive,Inactive
21349,Inactive,Inactive,Inactive,Inactive,Inactive
21516,Inactive,Inactive,Inactive,Inactive,Inactive
21525,Inactive,Inactive,Inactive,Inactive,Inactive
21849,Inactive,Inactive,Inactive,Inactive,Inactive
21850,Inactive,Inactive,Inactive,Inactive,Inactive
21851,Inactive,Inactive,Inactive,Inactive,Inactive
20751,Inactive,Inactive,Inactive,Inactive,Inactive
21852,Inactive,Inactive,Inactive,Inactive,Inactive
20216,Inactive,Inactive,Inactive,Inactive,Inactive
20216,Inactive,Inactive,Inactive,Inactive,Inactive
20507,Inactive,Inactive,Inactive,Inactive,Inactive
21015,Inactive,Inactive,Inactive,Inactive,Inactive
20134,Inactive,Inactive,Inactive,Inactive,Inactive
21838,Inactive,Inactive,Inactive,Inactive,Inactive
20013,Inactive,Inactive,Inactive,Inactive,Inactive
21297,Inactive,Inactive,Inactive,Inactive,Inactive
20174,Inactive,Inactive,Inactive,Inactive,Inactive
21298,Inactive,Inactive,Inactive,Inactive,Inactive
20175,Inactive,Inactive,Inactive,Inactive,Inactive
20206,Inactive,Inactive,Inactive,Inactive,Inactive
21724,Inactive,Inactive,Inactive,Inactive,Inactive
20329,Inactive,Inactive,Inactive,Inactive,Inactive
21812,Inactive,Inactive,Inactive,Inactive,Inactive
20337,Inactive,Inactive,Inactive,Inactive,Inactive
21806,Inactive,Inactive,Inactive,Inactive,Inactive
21514,Inactive,Inactive,Inactive,Inactive,Inactive
20354,Inactive,Inactive,Inactive,Inactive,Inactive
21531,Inactive,Inactive,Inactive,Inactive,Inactive
20355,Inactive,Inactive,Inactive,Inactive,Inactive
21533,Inactive,Inactive,Inactive,Inactive,Inactive
516,Inactive,Inactive,Inactive,Inactive,Inactive
21325,Inactive,Inactive,Inactive,Inactive,Inactive
21555,Inactive,Inactive,Inactive,Inactive,Inactive
20101,Inactive,Inactive,Inactive,Inactive,Inactive
21144,Inactive,Inactive,Inactive,Inactive,Inactive
21170,Inactive,Inactive,Inactive,Inactive,Inactive
