plate,well-row,well-column,id_mixture,id_chemical         ,compound common name,SMILES,cherry_testname     ,cherry-error-code     ,cherry-initial-fluorescence,cherry-final-fluorescence,cherry-lagtime2,cherry-doubletime  ,sapphire_testname  ,sapphire-error-code  ,sapphire-initial-fluorescence,sapphire-final-fluorescence,sapphire-lagtime2,sapphire-doubletime,venus_testname     ,venus-error-code    ,venus-initial-fluorescence,venus-final-fluorescence,venus-lagtime2   ,venus-doubletime   ,plate layout,study,volume,concentration
3443,C,1,201000000000,20484,"CONGO-RED, Congo Red",Nc1c(cc(c2ccccc12)S(O)(=O)=O)N=Nc1ccc(cc1)-c1ccc(cc1)N=Nc1cc(c2ccccc2c1N)S(O)(=O)=O,CHERRY580X384,0,2982,24182,0,1.84902,SAPPHIRE405X384,0,6088,80769,0,2.44655,VENUS500X384,0,1729,4805,0,8.13869,1993,1435,5,1
3443,C,2,201000000000,20484,"CONGO-RED, Congo Red",Nc1c(cc(c2ccccc12)S(O)(=O)=O)N=Nc1ccc(cc1)-c1ccc(cc1)N=Nc1cc(c2ccccc2c1N)S(O)(=O)=O,CHERRY580X384,0,2868,23618,0,2.07742,SAPPHIRE405X384,0,6000,77700,0,2.47232,VENUS500X384,0,1836,4805.5,0.969118,7.70001,1993,1435,12.5,2.5
3443,C,3,201000000000,20484,"CONGO-RED, Congo Red",Nc1c(cc(c2ccccc12)S(O)(=O)=O)N=Nc1ccc(cc1)-c1ccc(cc1)N=Nc1cc(c2ccccc2c1N)S(O)(=O)=O,CHERRY580X384,0,3034,24044,0,1.94133,SAPPHIRE405X384,0,5951,76780,0,2.62518,VENUS500X384,0,1810,4773.5,0.836308,7.87277,1993,1435,25,5
3443,C,4,201000000000,20484,"CONGO-RED, Congo Red",Nc1c(cc(c2ccccc12)S(O)(=O)=O)N=Nc1ccc(cc1)-c1ccc(cc1)N=Nc1cc(c2ccccc2c1N)S(O)(=O)=O,CHERRY580X384,0,2549,23470,0,1.94728,SAPPHIRE405X384,0,5744,75585,0,2.59405,VENUS500X384,0,1796,4701.5,0.828481,8.11453,1993,1435,50,10
3443,C,24,201000000000,20484,"CONGO-RED, Congo Red",Nc1c(cc(c2ccccc12)S(O)(=O)=O)N=Nc1ccc(cc1)-c1ccc(cc1)N=Nc1cc(c2ccccc2c1N)S(O)(=O)=O,CHERRY580X384,0,3173,24175,0,1.86728,SAPPHIRE405X384,0,5952,77907.5,0,2.44331,VENUS500X384,0,1833,4802,0.824468,7.74568,1993,1435,2.5,0.5
3443,G,20,201000000000,20484,"CONGO-RED, Congo Red",Nc1c(cc(c2ccccc12)S(O)(=O)=O)N=Nc1ccc(cc1)-c1ccc(cc1)N=Nc1cc(c2ccccc2c1N)S(O)(=O)=O,CHERRY580X384,0,2772,22436.5,0,1.72854,SAPPHIRE405X384,0,5992,75409.5,0,2.47051,VENUS500X384,0,1837,4837.5,1.08199,7.32324,1993,1435,2.5,0.5
3443,G,21,201000000000,20484,"CONGO-RED, Congo Red",Nc1c(cc(c2ccccc12)S(O)(=O)=O)N=Nc1ccc(cc1)-c1ccc(cc1)N=Nc1cc(c2ccccc2c1N)S(O)(=O)=O,CHERRY580X384,0,2848,23444,0,2.0144,SAPPHIRE405X384,0,6115,75874,0,2.45461,VENUS500X384,0,1856,4910,0,8.58608,1993,1435,5,1
3443,G,22,201000000000,20484,"CONGO-RED, Congo Red",Nc1c(cc(c2ccccc12)S(O)(=O)=O)N=Nc1ccc(cc1)-c1ccc(cc1)N=Nc1cc(c2ccccc2c1N)S(O)(=O)=O,CHERRY580X384,0,2776,22716,0,1.75647,SAPPHIRE405X384,0,6056,76167.5,0,2.44196,VENUS500X384,0,1845,4834,0,8.61647,1993,1435,12.5,2.5
3443,G,23,201000000000,20484,"CONGO-RED, Congo Red",Nc1c(cc(c2ccccc12)S(O)(=O)=O)N=Nc1ccc(cc1)-c1ccc(cc1)N=Nc1cc(c2ccccc2c1N)S(O)(=O)=O,CHERRY580X384,0,2991,23188,0,1.91188,SAPPHIRE405X384,0,6180,77778,0,2.47688,VENUS500X384,0,1923,5013,0.875934,7.82909,1993,1435,25,5
3443,G,24,201000000000,20484,"CONGO-RED, Congo Red",Nc1c(cc(c2ccccc12)S(O)(=O)=O)N=Nc1ccc(cc1)-c1ccc(cc1)N=Nc1cc(c2ccccc2c1N)S(O)(=O)=O,CHERRY580X384,0,3212,23378,0,2.04659,SAPPHIRE405X384,0,6241,80715,0,2.45227,VENUS500X384,0,1892,4931,1.15225,7.35298,1993,1435,50,10
