plate,well-row,well-column,id_mixture,id_chemical         ,compound common name,SMILES,cherry_testname     ,cherry-error-code     ,cherry-initial-fluorescence,cherry-final-fluorescence,cherry-lagtime2,cherry-doubletime  ,sapphire_testname  ,sapphire-error-code  ,sapphire-initial-fluorescence,sapphire-final-fluorescence,sapphire-lagtime2,sapphire-doubletime,venus_testname     ,venus-error-code    ,venus-initial-fluorescence,venus-final-fluorescence,venus-lagtime2   ,venus-doubletime   ,plate layout,study,volume,concentration
3170,A,14,SM_JHU-3038,20561,"Dichlorophen, Dichlorophene, Dichlorophen (2,2 methylene bis 4-chlorophenol)",Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O,CHERRY580X384,0,2105,58332,1.07707,1.89619,SAPPHIRE405X384,0,3627,80593,0.943203,2.99508,VENUS500X384,0,4536,42328.8,1.23154,2.66658,1705,1214,5,1
3170,A,15,SM_JHU-3038,20561,"Dichlorophen, Dichlorophene, Dichlorophen (2,2 methylene bis 4-chlorophenol)",Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O,CHERRY580X384,0,1909,58797,0,2.32617,SAPPHIRE405X384,0,3647,75988.8,1.73039,2.88717,VENUS500X384,0,4513,42446.5,1.25919,2.85661,1705,1214,12.5,2.5
3170,A,16,SM_JHU-3038,20561,"Dichlorophen, Dichlorophene, Dichlorophen (2,2 methylene bis 4-chlorophenol)",Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O,CHERRY580X384,0,1504,70559.8,0,2.15326,SAPPHIRE405X384,0,3501,78840,2.84189,2.61682,VENUS500X384,0,4210,37744,1.50162,3.20147,1705,1214,25,5
3170,A,17,SM_JHU-3038,20561,"Dichlorophen, Dichlorophene, Dichlorophen (2,2 methylene bis 4-chlorophenol)",Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O,CHERRY580X384,0,1508,88388,4.97086,3.43932,SAPPHIRE405X384,0,3214,91929.5,9.53331,3.77555,VENUS500X384,0,3838,25123,9.75506,5.53288,1705,1214,50,10
3170,A,18,SM_JHU-3038,20561,"Dichlorophen, Dichlorophene, Dichlorophen (2,2 methylene bis 4-chlorophenol)",Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O,CHERRY580X384,0,1912,1673.25,0,10000000,SAPPHIRE405X384,0,3236,3632,4.2848,90.0203,VENUS500X384,0,3843,3293,0,10000000,1705,1214,100,20
3170,C,12,SM_JHU-3038,20561,"Dichlorophen, Dichlorophene, Dichlorophen (2,2 methylene bis 4-chlorophenol)",Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O,CHERRY580X384,0,1739,55120.2,1.04436,1.82568,SAPPHIRE405X384,0,3531,74899.8,1.16553,2.97929,VENUS500X384,0,4296,40210.8,1.04903,2.82186,1705,1214,5,1
3170,C,13,SM_JHU-3038,20561,"Dichlorophen, Dichlorophene, Dichlorophen (2,2 methylene bis 4-chlorophenol)",Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O,CHERRY580X384,0,1867,55933.2,1.09713,2.02214,SAPPHIRE405X384,0,3471,73466,1.70536,2.85574,VENUS500X384,0,4271,38260.2,1.10195,2.9245,1705,1214,12.5,2.5
3170,C,14,SM_JHU-3038,20561,"Dichlorophen, Dichlorophene, Dichlorophen (2,2 methylene bis 4-chlorophenol)",Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O,CHERRY580X384,0,1577,61284.8,0,2.44022,SAPPHIRE405X384,0,3391,73106.8,3.21237,2.75432,VENUS500X384,0,4083,32474,1.86894,3.38711,1705,1214,25,5
3170,C,15,SM_JHU-3038,20561,"Dichlorophen, Dichlorophene, Dichlorophen (2,2 methylene bis 4-chlorophenol)",Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O,CHERRY580X384,0,1708,94583,9.69023,3.81033,SAPPHIRE405X384,0,3264,88009.5,13.8372,4.27876,VENUS500X384,0,3839,20685.8,14.9141,7.79382,1705,1214,50,10
3170,C,16,SM_JHU-3038,20561,"Dichlorophen, Dichlorophene, Dichlorophen (2,2 methylene bis 4-chlorophenol)",Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O,CHERRY580X384,0,1359,1639,0,5.83134,SAPPHIRE405X384,0,3224,3485.5,3.73893,96.0392,VENUS500X384,0,3736,3378,0,10000000,1705,1214,100,20
3170,E,10,SM_JHU-3038,20561,"Dichlorophen, Dichlorophene, Dichlorophen (2,2 methylene bis 4-chlorophenol)",Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O,CHERRY580X384,0,1867,51357.5,1.46403,1.75915,SAPPHIRE405X384,0,3548,75677.5,1.03986,3.00214,VENUS500X384,0,4393,41301.2,1.25669,2.60739,1705,1214,5,1
3170,E,11,SM_JHU-3038,20561,"Dichlorophen, Dichlorophene, Dichlorophen (2,2 methylene bis 4-chlorophenol)",Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O,CHERRY580X384,0,1583,56686,0.901298,1.81589,SAPPHIRE405X384,0,3533,73466.2,1.62096,2.89031,VENUS500X384,0,4236,38338.2,1.12897,2.88459,1705,1214,12.5,2.5
3170,E,12,SM_JHU-3038,20561,"Dichlorophen, Dichlorophene, Dichlorophen (2,2 methylene bis 4-chlorophenol)",Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O,CHERRY580X384,0,1615,63571,0,2.40074,SAPPHIRE405X384,0,3368,72428.8,2.74864,2.9358,VENUS500X384,0,4100,34746.2,1.82786,3.24364,1705,1214,25,5
3170,E,13,SM_JHU-3038,20561,"Dichlorophen, Dichlorophene, Dichlorophen (2,2 methylene bis 4-chlorophenol)",Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O,CHERRY580X384,0,1541,115054,7.66383,3.37447,SAPPHIRE405X384,0,3337,86042,12.0295,4.05125,VENUS500X384,0,3856,21637.5,12.4139,6.57142,1705,1214,50,10
3170,E,14,SM_JHU-3038,20561,"Dichlorophen, Dichlorophene, Dichlorophen (2,2 methylene bis 4-chlorophenol)",Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O,CHERRY580X384,0,1881,1495.75,0,10000000,SAPPHIRE405X384,0,3352,3585.5,6.04451,59.1201,VENUS500X384,0,3852,3172,0,10000000,1705,1214,100,20
3170,G,8,SM_JHU-3038,20561,"Dichlorophen, Dichlorophene, Dichlorophen (2,2 methylene bis 4-chlorophenol)",Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O,CHERRY580X384,0,1851,52698.5,0.744027,2.11087,SAPPHIRE405X384,0,3483,73317.8,1.48552,2.85155,VENUS500X384,0,4168,39191.2,1.2868,2.57863,1705,1214,5,1
3170,G,9,SM_JHU-3038,20561,"Dichlorophen, Dichlorophene, Dichlorophen (2,2 methylene bis 4-chlorophenol)",Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O,CHERRY580X384,0,1780,54454,1.415,1.81636,SAPPHIRE405X384,0,3388,74732,1.69259,2.84575,VENUS500X384,0,4148,38294.5,0.899904,3.01978,1705,1214,12.5,2.5
3170,G,10,SM_JHU-3038,20561,"Dichlorophen, Dichlorophene, Dichlorophen (2,2 methylene bis 4-chlorophenol)",Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O,CHERRY580X384,0,1561,62895.2,0,2.46439,SAPPHIRE405X384,0,3313,73186,3.14189,2.77141,VENUS500X384,0,4133,33851.2,1.87447,3.4207,1705,1214,25,5
3170,G,11,SM_JHU-3038,20561,"Dichlorophen, Dichlorophene, Dichlorophen (2,2 methylene bis 4-chlorophenol)",Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O,CHERRY580X384,0,1652,102030,8.08888,3.42547,SAPPHIRE405X384,0,3216,87610.5,11.911,3.98561,VENUS500X384,0,3847,21236,12.612,6.44018,1705,1214,50,10
3170,G,12,SM_JHU-3038,20561,"Dichlorophen, Dichlorophene, Dichlorophen (2,2 methylene bis 4-chlorophenol)",Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O,CHERRY580X384,0,1676,1749.5,3.04447,66.6257,SAPPHIRE405X384,0,3223,3604,7.0676,63.6625,VENUS500X384,0,3845,3208.5,0,10000000,1705,1214,100,20
3170,A,20,SM_JHU-2151,20427,"CICLOPIROX OLAMINE, Ciclopirox ethanolamine",NCCOP(O)(O)=O.CC1=CC(=O)N(O)C(=C1)C1CCCCC1,CHERRY580X384,0,1899,70830,1.62528,1.5907,SAPPHIRE405X384,0,3566,81757.5,1.65566,3.15547,VENUS500X384,0,4331,44251.5,1.42225,3.09182,1705,1214,5,1
3170,A,21,SM_JHU-2151,20427,"CICLOPIROX OLAMINE, Ciclopirox ethanolamine",NCCOP(O)(O)=O.CC1=CC(=O)N(O)C(=C1)C1CCCCC1,CHERRY580X384,0,1556,97763,0,4.69887,SAPPHIRE405X384,0,3572,91718,8.0797,3.92111,VENUS500X384,0,4313,55972,7.46943,4.15244,1705,1214,12.5,2.5
3170,A,22,SM_JHU-2151,20427,"CICLOPIROX OLAMINE, Ciclopirox ethanolamine",NCCOP(O)(O)=O.CC1=CC(=O)N(O)C(=C1)C1CCCCC1,CHERRY580X384,0,2049,10570,0,3.62271,SAPPHIRE405X384,0,3571,10548,0,10.6126,VENUS500X384,0,4262,10367.8,0,8.30922,1705,1214,25,5
3170,A,23,SM_JHU-2151,20427,"CICLOPIROX OLAMINE, Ciclopirox ethanolamine",NCCOP(O)(O)=O.CC1=CC(=O)N(O)C(=C1)C1CCCCC1,CHERRY580X384,0,2027,8880.5,0,4.00668,SAPPHIRE405X384,0,3543,9514,0,12.4996,VENUS500X384,0,4305,9802.25,0,9.46617,1705,1214,50,10
3170,A,24,SM_JHU-2151,20427,"CICLOPIROX OLAMINE, Ciclopirox ethanolamine",NCCOP(O)(O)=O.CC1=CC(=O)N(O)C(=C1)C1CCCCC1,CHERRY580X384,0,1664,8419.75,0,3.02563,SAPPHIRE405X384,0,3471,8933,0,12.8323,VENUS500X384,0,4396,9319.5,0,13.119,1705,1214,100,20
