@relation TS6-Test-Pf

@attribute cherry-initial-fluorescence numeric
@attribute cherry-final-fluorescence numeric
@attribute cherry-lagtime2 numeric
@attribute cherry-doubletime numeric
@attribute sapphire-initial-fluorescence numeric
@attribute sapphire-final-fluorescence numeric
@attribute sapphire-lagtime2 numeric
@attribute sapphire-doubletime numeric
@attribute venus-initial-fluorescence numeric
@attribute venus-final-fluorescence numeric
@attribute venus-lagtime2 numeric
@attribute venus-doubletime numeric
@attribute F-Cherry numeric
@attribute F-Sapphire numeric
@attribute F-Venus numeric
@attribute HitRatio-Cherry numeric
@attribute HitRatio-Sapphire numeric
@attribute HitRatio-Venus numeric
@attribute MIY-Cherry numeric
@attribute MIY-Sapphire numeric
@attribute MIY-Venus numeric
@attribute DT-Cherry numeric
@attribute DT-Sapphire numeric
@attribute DT-Venus numeric
@attribute Label {Inactive,Active}

@data
1399.5,40574,1.31553,1.72329,3143.5,71493.25,1.31425,3.0104,3238,33257.75,1.0969,2.43124,-0.00014,-0.00002,0.0006,1.12675,1.07637,1.06345,0.35208,0.05828,0.02649,0.93109,1.0049,0.98806,Inactive
1401,50793.25,1.34027,1.60851,3232.5,69030,1.28056,3.17355,3164,39736.5,0.9455,2.59776,-0.0001,0.00138,-0.00202,1.42063,1.03618,1.29558,0.37682,0.02459,-0.1249,0.86908,1.05936,1.05573,Inactive
1342.5,46599.75,0.63145,1.85641,3230,66849.25,1.30283,3.08554,3246,37133.5,1.01526,2.50267,-0.00178,0.00134,0.00089,1.3017,1.00187,1.20046,-0.332,0.04686,-0.05515,1.00302,1.02998,1.01709,Inactive
1380.5,47026,0.83931,1.83972,3336,67577.25,1.56651,3.0686,3237.5,37447.5,0.91203,2.54796,-0.00069,0.00301,0.00058,1.31287,1.01167,1.21189,-0.12414,0.31055,-0.15838,0.994,1.02433,1.03549,Inactive
1409,48130,0.91084,1.81305,3504,68720.75,1.60651,3.17656,3218,38343.5,0.76902,2.7312,0.00013,0.00565,-0.00011,1.3438,1.02703,1.24432,-0.05261,0.35054,-0.30139,0.9796,1.06037,1.10996,Inactive
1388,50400.25,0,1.95637,4043.5,70114,1.75352,3.35739,3245,39471,0.9375,2.58857,-0.00047,0.01415,0.00085,1.4097,1.04048,1.2833,-0.96345,0.49755,-0.13291,1.05703,1.12073,1.052,Inactive
1641.5,34561.25,1.26598,1.85616,3121.5,66547.5,1.30071,2.99843,3195.5,30316,0.56838,2.67774,0.00682,-0.00037,-0.0009,0.94685,0.99883,0.96074,0.30253,0.04475,-0.50203,1.00289,1.0009,1.08823,Inactive
1410.5,35017,1.41399,1.6476,3155,65473.5,1.05087,3.09897,3176,30484,1.04114,2.46136,0.00017,0.00016,-0.00159,0.9666,0.98139,0.96738,0.45054,-0.2051,-0.02927,0.8902,1.03447,1.0003,Inactive
1340.5,35383,0.38647,1.94988,3145,65777.5,1.02246,3.0695,3254,31203.75,1.11623,2.41287,-0.00184,0,0.00117,0.97914,0.98633,0.99012,-0.57698,-0.23351,0.04583,1.05352,1.02463,0.98059,Inactive
1369.5,35205,0.60322,1.86793,3158.5,65845.5,1.15201,3.06008,3231,30629.5,0.9635,2.50011,-0.00101,0.00021,0.00035,0.97319,0.98719,0.97059,-0.36023,-0.10396,-0.10691,1.00924,1.02148,1.01604,Inactive
1466,35566,0,2.10016,3191,66189,1.45827,2.9338,3320,30343,1.19251,2.44754,0.00177,0.00072,0.00351,0.98079,0.99209,0.95729,-0.96345,0.2023,0.1221,1.13472,0.97933,0.99468,Inactive
1433.5,36727.75,0.83248,1.93429,3155.5,65811.5,1.49469,2.93301,3151.5,31711,0.43821,2.68359,0.00083,0.00017,-0.00246,1.01514,0.9867,1.01172,-0.13097,0.23872,-0.6322,1.0451,0.97907,1.09061,Inactive
1394,38343.25,0.33927,1.97711,3081,65187.5,1.5136,2.94884,3182,32282,1.0451,2.44987,-0.0003,-0.00101,-0.00138,1.06274,0.97805,1.03086,-0.62418,0.25763,-0.0253,1.06823,0.98435,0.99563,Inactive
1282,41846.5,0.45865,1.96204,3086.5,61370.75,1.66802,2.96989,3222,32678.5,0.96685,2.72502,-0.00352,-0.00092,0.00004,1.16673,0.91786,1.04349,-0.5048,0.41205,-0.10356,1.06009,0.99138,1.10745,Inactive
1301,47806.75,1.43714,2.05453,3035,57541,2.9223,3.0585,3007.5,32320,1.65542,2.93072,-0.00298,-0.00173,-0.00756,1.33761,0.85836,1.03839,0.47369,1.66633,0.58501,1.11006,1.02096,1.19105,Inactive
1459,74657.5,6.88334,3.32388,2988.5,49777.75,10.40605,4.63845,2905,34296.5,9.73125,5.01147,0.00157,-0.00246,-0.01119,2.10536,0.73684,1.11204,5.91989,9.15009,8.66084,1.7959,1.54836,2.03667,Active
1485.5,41914.25,0.89883,1.87874,3200,65006,1.64121,2.85643,3299.5,34370.75,0.90592,2.6598,0.00233,0.00087,0.00278,1.16282,0.97332,1.1007,-0.06462,0.38524,-0.16448,1.01509,0.9535,1.08094,Inactive
1486.5,44480,0.29839,2.07077,3213.5,64779.5,1.70045,2.82766,3252,35456.75,0.7588,2.68453,0.00236,0.00108,0.0011,1.23659,0.96954,1.14085,-0.66506,0.44449,-0.31161,1.11884,0.9439,1.091,Inactive
1384.5,47298.25,0.21815,2.11018,3170.5,61282.25,1.5858,2.87726,3249,35079.5,0.65484,2.74071,-0.00058,0.0004,0.00099,1.32058,0.91514,1.12759,-0.7453,0.32983,-0.41556,1.14013,0.96046,1.11383,Inactive
1365,46664,0.36635,2.10884,3103,56278.25,1.5731,3.13343,3202,34814.5,0.55906,2.85429,-0.00114,-0.00066,-0.00067,1.3029,0.8374,1.11987,-0.59709,0.31713,-0.51134,1.13941,1.04597,1.15998,Inactive
1378.5,44929.25,0,2.21603,3082,52720.5,1.49454,3.30741,3147.5,32981.25,0.48124,3.2267,-0.00075,-0.00099,-0.0026,1.25262,0.78171,1.05686,-0.96345,0.23857,-0.58916,1.19732,1.10405,1.31133,Inactive
1430,36703.5,0.38262,1.89959,3173.5,65147.7,1.00289,3.08198,3280,31589.95,0.3715,2.70644,-0.00136,-0.00128,-0.00428,1.06381,0.98909,1.04846,0.38262,-0.01279,-0.50809,1.01373,1.00926,1.06875,Inactive
1696,34331.45,0.58355,1.9943,3277.5,65652.5,1.07808,3.04745,3402,31071.25,0.54538,2.65205,0.00667,0.00038,0.00024,0.98425,0.99548,1.02473,0.58355,0.06241,-0.33421,1.06428,0.99795,1.04727,Inactive
1563,34526.5,0.74385,1.83965,3218,64522,1.00519,3.02925,3377.5,30517,1.05451,2.43692,0.00265,-0.00057,-0.00067,0.99415,0.97839,1.00511,0.74385,-0.01048,0.17492,0.98175,0.99199,0.96232,Inactive
1547.5,35507,0.45942,2.0054,3279.5,65601.95,1.06645,3.07771,3384,31426,1.15632,2.35601,0.00219,0.00041,-0.00043,1.02418,0.99465,1.03854,0.45942,0.05078,0.27672,1.0702,1.00786,0.93037,Inactive
1482,37030,0.59285,1.79831,3235.5,65336,1.03092,3.0767,3390.5,31781.7,0.90677,2.51976,0.00021,-0.00029,-0.00019,1.07209,0.9911,1.05147,0.59285,0.01525,0.02717,0.95969,1.00753,0.99503,Inactive
1411,37696.6,0,2.06194,3255.5,68479.5,1.10015,3.14249,3377.5,29567,0.66653,2.80922,-0.00193,0.00003,-0.00067,1.09434,1.04095,0.96993,0,0.08447,-0.21306,1.10038,1.02908,1.10934,Inactive
1294.5,36499.2,0,1.97725,3281.5,66015.75,1.51991,3.18113,3358,28255.5,0.65212,2.94914,-0.00544,0.00045,-0.00139,1.06174,1.00122,0.92208,0,0.50424,-0.22748,1.05518,1.04173,1.16459,Inactive
1548,35906.3,0.40464,2.19551,3255.5,67339.9,1.49246,3.53607,3427.5,25207.05,0.62816,3.58308,0.0022,0.00003,0.00119,1.03621,1.02277,0.80661,0.40464,0.47679,-0.25143,1.17166,1.15796,1.41493,Inactive
1525.5,35053.5,0,2.51842,3267.5,66480.45,1.80508,3.89969,3438.5,22269.5,0.19726,4.57998,0.00152,0.00022,0.00159,1.01117,1.00886,0.69741,0,0.7894,-0.68233,1.34398,1.27704,1.8086,Active
1599,32524.25,0.81639,2.53299,3275,63760.1,2.68737,4.5247,3461.5,19069.75,0.6957,6.11826,0.00374,0.00034,0.00244,0.93267,0.96532,0.57805,0.81639,1.6717,-0.18389,1.35175,1.48171,2.41606,Active
1746,39388.5,0,2.05237,3301.5,68616.5,0.97015,2.9898,3419.5,33673.5,0.42796,2.7067,0.00633,-0.00003,-0.0058,1.12879,1.04862,1.11,0,0.0153,0.42796,1.08803,1.02849,0.9716,Inactive
1863,43109.25,0,2.13663,3290,73690,0.90491,3.01458,3518.5,37071.5,0.48899,2.74526,0.00984,-0.00022,-0.00216,1.23685,1.13025,1.23104,0,-0.04994,0.48899,1.13269,1.03702,0.98544,Inactive
1814,79905.75,0,2.05229,3295,86172.4,1.09561,2.83893,3560,62038.5,0.5865,2.53196,0.00837,-0.00014,-0.00064,2.34174,1.33058,2.14555,0,0.14076,0.5865,1.08798,0.97659,0.90887,Inactive
1787,101518.75,0.40426,2.2318,3289.5,95486,1.28925,2.99239,3497,78212.35,0.94042,2.66922,0.00756,-0.00022,-0.00295,2.99066,1.48019,2.74127,0.40426,0.3344,0.94042,1.18315,1.02938,0.95815,Inactive
1724,122355.5,0,2.67405,3300,98174.5,2.1,3.29439,3437.5,94971.05,0.93765,3.11533,0.00567,-0.00006,-0.00514,3.61738,1.52319,3.35832,0,1.14515,0.93765,1.4176,1.13327,1.11828,Inactive
736,22623.25,1.24087,2.0618,2720.5,50773,3.13473,3.09531,1083.5,11723.75,1.57404,2.88802,0.00128,0.0019,0.00157,1.07446,1.05589,1.08017,-0.24425,-0.05419,-0.07578,1.00767,0.99572,0.98555,Inactive
