@relation TS3-Binary-Labeled

@attribute cherry-initial-fluorescence numeric
@attribute cherry-final-fluorescence numeric
@attribute cherry-lagtime2 numeric
@attribute cherry-doubletime numeric
@attribute sapphire-initial-fluorescence numeric
@attribute sapphire-final-fluorescence numeric
@attribute sapphire-lagtime2 numeric
@attribute sapphire-doubletime numeric
@attribute venus-initial-fluorescence numeric
@attribute venus-final-fluorescence numeric
@attribute venus-lagtime2 numeric
@attribute venus-doubletime numeric
@attribute F-Cherry numeric
@attribute F-Sapphire numeric
@attribute F-Venus numeric
@attribute HitRatio-Cherry numeric
@attribute HitRatio-Sapphire numeric
@attribute HitRatio-Venus numeric
@attribute MIY-Cherry numeric
@attribute MIY-Sapphire numeric
@attribute MIY-Venus numeric
@attribute DT-Cherry numeric
@attribute DT-Sapphire numeric
@attribute DT-Venus numeric
@attribute Label {Inactive,Active}

@data
2504,55631,0,1.90848,4032,72157,0.62288,2.57759,5186,51874.5,0,2.37524,0.00136,-0.00017,-0.00281,0.9505,0.96207,0.93688,0,-0.05773,0,1.05095,1.02205,0.98635,Inactive
2219,54164,0,1.78808,3927,71544,0.63064,2.54413,5169,50606,0,2.42439,-0.00374,-0.00165,-0.00315,0.92935,0.95489,0.91177,0,-0.04997,0,0.98465,1.00878,1.00676,Inactive
2358,59074,0,1.8663,3775,62534,0.5735,2.51677,4938,45768,0,2.36108,-0.00125,-0.0038,-0.00779,1.01471,0.8298,0.81932,0,-0.10711,0,1.02773,0.99793,0.98047,Inactive
2252,56336,0,1.69122,3906,56290,0.58405,2.95947,4967,50858.5,0,2.36943,-0.00315,-0.00195,-0.0072,0.96762,0.73977,0.92089,0,-0.09656,0,0.93131,1.17347,0.98394,Inactive
2556,50198,0,1.83752,4080,73395,0.82723,2.45856,5148,48276,0,2.37077,0.00229,0.00051,-0.00357,0.85236,0.97887,0.86543,0,0.14662,0,1.01188,0.97485,0.98449,Inactive
2408,57804.5,0,1.69755,4026,74519.5,0.80795,2.45422,5095,52544,0,2.33871,-0.00036,-0.00025,-0.00464,0.9911,0.99552,0.95214,0,0.12734,0,0.9348,0.97313,0.97118,Inactive
2399,53895,0,1.86977,4720,69965,0.83816,2.81356,5108,51283,0,2.38074,-0.00052,0.00955,-0.00437,0.92132,0.9214,0.92658,0,0.15755,0,1.02964,1.11561,0.98863,Inactive
1917,56495,0,1.61927,3784,66875,0.71902,2.63214,4967,52295,0,2.39334,-0.00914,-0.00367,-0.0072,0.97646,0.89098,0.94971,0,0.03841,0,0.89169,1.04368,0.99387,Inactive
1002,23629,0.57972,5.73612,1386,42623.5,12.65144,4.34738,1638.5,41689,9.59873,4.61892,-0.00276,0.00012,0.00297,1.13373,1.97557,3.44735,-0.95904,10.25048,8.14464,2.74485,1.31186,1.59228,Active
2527,54479,0,1.88585,3976,72024,0.67611,2.52382,5186,50605.5,0,2.41251,0.00177,-0.00096,-0.00281,0.92947,0.96098,0.91142,0,-0.0045,0,1.03849,1.00073,1.00183,Inactive
2581,54486,0,1.92197,4058,73099,0.75937,2.48503,5192,52197,0,2.35151,0.00274,0.0002,-0.00269,0.92863,0.975,0.94323,0,0.07876,0,1.05838,0.98534,0.9765,Inactive
2518,53555,0,1.85618,4060,73274,0,2.77393,5216,50085,0,2.35716,0.00161,0.00023,-0.00221,0.9131,0.97745,0.90037,0,-0.68061,0,1.02215,1.0999,0.97884,Inactive
2135,60039,0,1.81924,3742,73001,0.63702,2.59372,4789,58447.5,0,2.3509,-0.00524,-0.00426,-0.01078,1.03596,0.97808,1.07674,0,-0.04359,0,1.00181,1.02844,0.97624,Inactive
2178,57818,0,1.67908,3910,73346,0.62739,2.54368,5147,54515,0,2.39262,-0.00447,-0.00189,-0.00359,0.99546,0.98058,0.99065,0,-0.05322,0,0.92463,1.0086,0.99357,Inactive
