@relation Train-TS7-Sapphire-5

@attribute cherry-initial-fluorescence numeric
@attribute cherry-final-fluorescence numeric
@attribute cherry-lagtime2 numeric
@attribute cherry-doubletime numeric
@attribute sapphire-initial-fluorescence numeric
@attribute sapphire-final-fluorescence numeric
@attribute sapphire-lagtime2 numeric
@attribute sapphire-doubletime numeric
@attribute venus-initial-fluorescence numeric
@attribute venus-final-fluorescence numeric
@attribute venus-lagtime2 numeric
@attribute venus-doubletime numeric
@attribute F-Cherry numeric
@attribute F-Sapphire numeric
@attribute F-Venus numeric
@attribute HitRatio-Cherry numeric
@attribute HitRatio-Sapphire numeric
@attribute HitRatio-Venus numeric
@attribute MIY-Cherry numeric
@attribute MIY-Sapphire numeric
@attribute MIY-Venus numeric
@attribute DT-Cherry numeric
@attribute DT-Sapphire numeric
@attribute DT-Venus numeric
@attribute Label {Inactive,Active}

@data
2688,44740.5,0,1.8672,3414,63893.5,0.84892,2.51834,5169,25257,0,3.15943,0.00341,-0.00048,-0.00083,0.93646,0.99799,0.98122,0,0.11333,0,0.9765,0.92515,0.96619,Inactive
2637,46494,0,1.95486,3353,64622,0.83003,2.69753,5060,25479.5,0,3.23949,0.00227,-0.00149,-0.00615,0.97664,1.01101,0.99741,0,0.09445,0,1.02235,0.99098,0.99067,Inactive
2008,49644,0,1.84085,3151,64457,0.75151,2.83906,4471,25846.5,0,3.34243,-0.00125,0.00092,0.00111,1.02081,1.02024,1.00521,0,-0.06291,0,0.9613,1.01358,0.98182,Inactive
2067,44465,0,1.91493,3062,60468,0.86864,2.74908,4522,24565,0,3.40902,-0.00182,-0.00216,-0.00469,0.91813,0.94956,0.95521,0,0.02267,0,1.00217,0.99537,1.00986,Inactive
1860,44837,0,1.7305,3122,59444,0.75697,2.79228,4560,24139,0,3.28955,-0.01503,-0.0053,-0.03058,0.95704,0.92938,0.95636,0,0.02139,0,0.90501,1.02579,1.00598,Inactive
2106,41977,0,1.9586,3137,60958.5,1.01808,2.75338,4351,24749.5,0,3.31938,0.00085,0.00069,-0.00454,0.85441,0.96225,0.95926,0,0.20366,0,1.02279,0.98299,0.97505,Inactive
1815,49433,0.66696,1.75732,3306.5,64984,1.09367,2.9624,3887.5,20560,0.97143,3.16519,-0.00012,0.00006,-0.00118,1.07116,0.98322,0.95869,0.66696,0.01475,0.0078,0.95377,0.99115,0.99353,Inactive
2249,43374.5,0,1.74886,3411,61673.5,0.90769,2.56251,5062,24078.5,0,3.25966,-0.00637,-0.00053,-0.00606,0.91581,0.9614,0.92888,0,0.1721,0,0.91461,0.94138,0.99684,Inactive
2585,43187,0,2.1047,3318,60690.5,0.84791,2.73769,4868,24824,0,3.19395,0.00111,-0.00206,-0.01553,0.90416,0.94672,0.97477,0,0.11233,0,1.10071,1.00573,0.97675,Inactive
2740,44033,0,1.85424,3523,60499.5,0.81229,2.5784,5288,24200,0,3.14775,0.00185,0.00062,0.00321,0.97993,0.97818,0.96367,0,0.13025,0,0.96993,0.92622,0.95595,Inactive
2390,43125,0,1.87284,3404,60447,0.93779,2.71411,5028,24466.5,0,3.2387,-0.00323,-0.00064,-0.00772,0.90712,0.94128,0.94949,0,0.2022,0,0.97945,0.99707,0.99043,Inactive
1774.5,50481,1.42716,1.53021,3321,69961,1.06403,2.95643,3916,21869,0.94468,3.26823,-0.00103,0.00029,0.00046,1.09564,1.06233,1.03232,1.42716,-0.0149,-0.01896,0.83051,0.98916,1.02588,Inactive
1891,47757,0,1.82773,3021,62717,1.09638,2.6497,4327,24515.5,0,3.3364,-0.00376,-0.00124,-0.00567,0.98288,0.99344,0.94939,0,0.28196,0,0.95445,0.94597,0.98005,Inactive
2577,46195.5,1.52354,1.53194,3190,60101,0.99364,3.03102,4539,23494.5,0,3.71938,0.00923,-0.00004,-0.00388,0.94456,0.94137,0.90338,1.52354,0.14767,0,0.80174,1.09746,1.1018,Inactive
2136,41316,0,1.94602,3125,61099,0.82735,2.79547,4493,24021,0,3.35723,0.00149,0.00049,0.00214,0.8396,0.96479,0.91833,0,0.01293,0,1.01622,0.99801,0.98617,Inactive
2319,49869,0,1.87803,3470,68550,0.81381,2.48422,5186,25924.5,0,3.12929,-0.00481,0.00045,0,1.05888,1.0739,1.01299,0,0.07822,0,0.98217,0.91261,0.95697,Inactive
2470,46121,0,1.90356,3321,62507,1.03507,2.65133,4912,25178.5,0,3.14484,0.00293,0.00053,0.00344,0.96875,1.00466,0.997,0,0.26561,0,0.99993,0.96177,0.95029,Inactive
2628,44780,0,1.89152,3480,61233,0.88939,2.57156,5296,24773,0,3.35957,-0.00081,-0.00012,0.00362,1.00031,0.99151,0.99246,0,0.20735,0,0.98943,0.92377,1.02028,Inactive
2384,46391,0,1.9595,3366,64597.5,0.75296,2.70579,5128,25293,0,3.24865,0.00102,0.00129,0.01407,0.97665,1.03938,0.99201,0,-0.0165,0,1.02931,0.98153,0.98166,Inactive
2475,41047,0,1.77272,3648,62076,0.78604,2.55841,5364,24019,0,3.23175,-0.00444,0.00276,0.00708,0.91536,1.00309,0.95057,0,0.104,0,0.92728,0.91904,0.98146,Inactive
2410,46674.5,0,1.8104,3440,62205.5,0,3.0405,5113,24670,0,3.2903,-0.00598,-0.00081,-0.00571,1.05045,1.00889,0.99654,0,-0.68204,0,0.94699,1.09222,0.99924,Inactive
2295,45842,0,1.90661,3235,60192,0.93307,2.72805,4740,23697,0,3.50131,-0.00095,-0.00093,-0.00502,0.96644,0.96682,0.93258,0,0.16361,0,1.00153,0.9896,1.05801,Inactive
2668,43846.5,0,2.0515,3638,63724.5,0.85359,2.4898,5480,25449,0,3.17906,0.00014,0.00259,0.01299,0.97721,1.03157,1.01753,0,0.17155,0,1.07311,0.8944,0.96546,Inactive
1801,48329,0,1.94191,2942,62425.5,0.58557,2.95457,4188,25135,0,3.39984,-0.00569,-0.00255,-0.0122,0.99706,0.98991,0.98506,0,-0.22885,0,1.01408,1.05481,0.99869,Inactive
2508,43683,0,2.09674,2865,59984,0.80576,2.63433,4444,23585,0,3.34786,0.00773,-0.00542,-0.00841,0.89165,0.94481,0.91223,0,-0.04021,0,1.09732,0.95382,0.99174,Inactive
1806,43632,0,1.7959,3073,61228.5,0.96484,2.73051,4387,24407,0,3.33352,-0.00558,-0.00037,-0.00285,0.8963,0.96781,0.94146,0,0.15042,0,0.93783,0.97482,0.9792,Inactive
2283,48115,0,1.87404,3249,65097.5,1.01346,2.65518,4630,25709,0,3.11079,0.00286,0.00093,0.00045,0.9925,1.02305,1.00459,0,0.16749,0,0.98077,0.96137,0.92152,Inactive
2868,52851,0,2.02937,3427,67134,0,2.95154,5089,25932,0,3.11507,0.00742,-0.00026,-0.00474,1.11306,1.05124,1.0181,0,-0.73559,0,1.06131,1.08429,0.95262,Inactive
2456,50365.5,0,1.71445,3484,67562.5,0.74842,2.68161,5122,26592,0,3.32704,-0.00176,0.00068,-0.00313,1.06688,1.05737,1.04872,0,0.01283,0,0.89662,0.98513,1.01745,Inactive
2136,49854.5,0,1.76644,3287,61916,0.86727,2.72389,4620,22614,0,3.36031,-0.00448,-0.00005,-0.01092,1.05902,0.9952,0.8852,0,0.09781,0,0.9279,0.98809,1.0154,Inactive
1499.5,14881.25,1.43449,2.39541,3367,28653.5,3.05084,3.57787,2032.5,10303.75,0.89762,2.78494,0.00639,-0.00101,-0.00267,0.93448,0.72739,0.63939,0.17131,0.11105,-0.05961,1.03482,0.95714,1.00638,Inactive
