@relation Train-TS7-Sapphire-6

@attribute cherry-initial-fluorescence numeric
@attribute cherry-final-fluorescence numeric
@attribute cherry-lagtime2 numeric
@attribute cherry-doubletime numeric
@attribute sapphire-initial-fluorescence numeric
@attribute sapphire-final-fluorescence numeric
@attribute sapphire-lagtime2 numeric
@attribute sapphire-doubletime numeric
@attribute venus-initial-fluorescence numeric
@attribute venus-final-fluorescence numeric
@attribute venus-lagtime2 numeric
@attribute venus-doubletime numeric
@attribute F-Cherry numeric
@attribute F-Sapphire numeric
@attribute F-Venus numeric
@attribute HitRatio-Cherry numeric
@attribute HitRatio-Sapphire numeric
@attribute HitRatio-Venus numeric
@attribute MIY-Cherry numeric
@attribute MIY-Sapphire numeric
@attribute MIY-Venus numeric
@attribute DT-Cherry numeric
@attribute DT-Sapphire numeric
@attribute DT-Venus numeric
@attribute Label {Inactive,Active}

@data
1946,48147.5,0,1.87468,3015,60726,0.68365,2.88709,4423,25396,0,3.44833,-0.00258,-0.00134,-0.00115,0.99007,0.96041,0.98628,0,-0.13077,0,0.97897,1.03072,1.01293,Inactive
1863,48519,0,1.87575,3006,59923,0.85609,2.8347,4196,23784.5,0,3.51919,-0.00436,-0.00149,-0.01183,0.99981,0.9472,0.92117,0,0.04166,0,0.97953,1.01202,1.03374,Inactive
2037,47119,0,1.90432,3127,62994.5,0.75269,2.7376,4583,25607.5,0,3.18657,-0.00247,-0.00108,-0.00179,0.97626,0.99028,1.00199,0,-0.09328,0,0.99662,0.99122,0.94396,Inactive
2156,42496.5,0,1.85026,3409,62619,0,3.13157,4592,24957.5,0,3.3595,0.00011,0.00358,-0.00136,0.87358,0.9794,0.97058,0,-0.84597,0,0.96833,1.13386,0.99519,Inactive
1908,47079.5,0,2.00696,3076,58704,0.92308,2.85296,4351,23546,0,3.5562,-0.0034,-0.00032,-0.00454,0.968,0.92574,0.90267,0,0.10866,0,1.04805,1.01854,1.04462,Inactive
1814.5,15553,0,1.99688,3327.5,26125.25,1.1431,3.19171,3988,33214,0.83317,3.45177,-0.00013,0.0004,0.0046,0.30904,0.36343,1.68052,0,0.06417,-0.13047,1.08379,1.06787,1.08349,Inactive
2796,44939,0,1.89881,3593,62680.5,0.71875,2.61639,5382,24923,0,3.16879,0.00318,0.00182,0.008,1.0001,1.01442,0.99572,0,0.03672,0,0.99324,0.93987,0.96234,Inactive
2056,47498.5,0,1.78688,3032,62082,0.91452,2.64041,4453,24638,0,3.13535,-0.00626,-0.00438,-0.01914,1.00851,1.00235,0.99299,0,0.14506,0,0.93864,0.95781,0.94742,Inactive
2048,44142,0,1.93614,3117,59599,0.59466,2.84778,4701,24170,0,3.53226,-0.00644,-0.00294,-0.00694,0.9342,0.95876,0.95777,0,-0.1748,0,1.01704,1.03304,1.06736,Inactive
2134,45871,0,2.0137,3001,60244,0.8712,2.80603,4342,23987.5,0,3.46717,0.00145,-0.00157,-0.00496,0.93725,0.95262,0.92385,0,0.05678,0,1.05157,1.00178,1.01846,Inactive
1982,46748.5,0,1.80121,3204,63510.5,0,3.14504,4616,24334,0,3.40932,-0.00181,0.00181,0.00792,0.95932,1.0036,0.92726,0,-0.81442,0,0.9406,1.12281,1.00147,Inactive
2004,47427.5,1.51341,1.34297,3042,60876,0.85441,2.84217,4385,24565,0,3.46455,-0.00134,-0.00089,-0.00294,0.9734,0.96246,0.94899,1.51341,0.03999,0,0.70131,1.01469,1.01769,Inactive
2183,42224,0,1.99507,3309,59001,0.90287,2.77235,4886,23570,0,3.43418,-0.00784,-0.00221,-0.01465,0.89166,0.91899,0.91264,0,0.16728,0,1.04338,1.01846,1.05021,Inactive
2257,45260,0,1.99371,3132,60212.5,0.8695,2.69777,4657,23408,0,3.47681,-0.0018,-0.00268,-0.0091,0.95437,0.96892,0.92244,0,0.10004,0,1.04728,0.97862,1.05061,Inactive
2322,52695.5,1.05555,1.73009,3200,68214.5,0.97747,2.67617,4537,17332,0,4.51491,0.0037,0.00012,-0.00398,1.09084,1.07542,0.60979,1.05555,0.1315,0,0.90544,0.96897,1.33746,Inactive
2164,41884,0,2.07847,2986,59874,0.83522,2.75314,4479,24249,0,3.35858,0.00209,-0.00182,0.00148,0.85117,0.94671,0.92971,0,0.0208,0,1.08539,0.9829,0.98657,Inactive
2428,44022.5,0,1.83559,3331,60882,0.94433,2.52199,4828,24285.5,0,3.12935,-0.00238,-0.00185,-0.01749,0.92626,0.94966,0.95042,0,0.20875,0,0.95997,0.92649,0.95699,Inactive
1964,44045,0,1.70039,3270,63600,0.98555,2.68375,4855,24987,0,3.3658,-0.00405,0.00128,0.01118,0.91127,0.99793,0.95945,0,0.13958,0,0.8899,0.97172,0.99706,Inactive
2036,46127.5,0,1.91504,3028,63055,0.8095,2.67937,4595,25362.5,0,3.141,-0.0067,-0.00445,-0.01215,0.97853,1.01894,1.02165,0,0.04004,0,1.00596,0.97194,0.94913,Inactive
2300,45278,0,2.03361,3160,59993.5,0.7757,2.7965,4573,24129.5,0,3.53001,-0.00084,-0.00221,-0.01323,0.95382,0.96473,0.96207,0,0.00624,0,1.06824,1.01443,1.06668,Inactive
2292,43496,0,1.90173,3346,60638.5,0.96392,2.69221,4832,24594,0,3.14808,-0.00102,0.00095,-0.00049,0.91445,0.97252,0.97218,0,0.19446,0,0.99897,0.9766,0.95127,Inactive
2042,43929,0,2.14761,4000,59078,0.96286,3.15176,4164,23436,0,3.50822,-0.00053,0.01505,-0.01333,0.89761,0.91659,0.90629,0,0.14844,0,1.1215,1.12521,1.03052,Inactive
2084,45948,0,1.91688,3365,61302,0.8313,2.74442,4863,24557.5,0,3.49883,-0.01004,-0.00129,-0.01578,0.9768,0.95603,0.962,0,0.09571,0,1.00248,1.0082,1.06998,Inactive
2725,49758.5,0,1.84092,3414,65926,0.81985,2.54436,5224,26032,0,3.20058,0.00423,-0.00048,0.00186,1.04738,1.03153,1.01639,0,0.08426,0,0.96276,0.93471,0.97877,Inactive
