@relation Train-TS7-Sapphire-7

@attribute cherry-initial-fluorescence numeric
@attribute cherry-final-fluorescence numeric
@attribute cherry-lagtime2 numeric
@attribute cherry-doubletime numeric
@attribute sapphire-initial-fluorescence numeric
@attribute sapphire-final-fluorescence numeric
@attribute sapphire-lagtime2 numeric
@attribute sapphire-doubletime numeric
@attribute venus-initial-fluorescence numeric
@attribute venus-final-fluorescence numeric
@attribute venus-lagtime2 numeric
@attribute venus-doubletime numeric
@attribute F-Cherry numeric
@attribute F-Sapphire numeric
@attribute F-Venus numeric
@attribute HitRatio-Cherry numeric
@attribute HitRatio-Sapphire numeric
@attribute HitRatio-Venus numeric
@attribute MIY-Cherry numeric
@attribute MIY-Sapphire numeric
@attribute MIY-Venus numeric
@attribute DT-Cherry numeric
@attribute DT-Sapphire numeric
@attribute DT-Venus numeric
@attribute Label {Inactive,Active}

@data
2524,47402,0,1.93306,3317,61436,0.73644,2.77269,4871,24300.5,0,3.34894,-0.00024,-0.00208,-0.01539,0.99938,0.95904,0.94905,0,0.00085,0,1.01095,1.01859,1.02414,Inactive
2707,46245,0,1.91292,3459,64602.5,0.93657,2.46392,5232,25732,0,3.18264,0.00383,0.00026,0.00225,0.96954,1.00894,1.00134,0,0.20099,0,1.00041,0.90516,0.97329,Inactive
1825.5,46268.75,0,1.82876,3379.5,66933.75,1.06307,3.00634,3894.5,20848,0.95438,3.19024,0.00011,0.00123,-0.00078,0.99974,1.01314,0.97484,0,-0.01586,-0.00925,0.99255,1.00586,1.0014,Inactive
2093,47010.5,0,1.91313,3011,61511,0.92973,2.70193,4501,25390.5,0,3.2696,-0.00126,-0.003,-0.0057,0.97269,0.96766,0.99556,0,0.08376,0,1.00123,0.9783,0.96856,Inactive
2582,46180,0,1.98008,3412,62819,0.82285,2.53147,5213,25224.5,0,3.19591,0.00105,-0.00051,0.00132,0.97087,0.98029,0.97748,0,0.08726,0,1.03554,0.92997,0.97735,Inactive
1934,50463.5,0,1.91962,2931,62431,0.80397,2.77573,4121,25279.5,0,3.39412,-0.0047,-0.00433,-0.02381,1.05091,0.9842,1.00838,0,-0.042,0,1.00463,1.00502,1.00545,Inactive
2219,44531.5,0,1.94347,3340,61348.5,0.9356,2.69169,4921,24583.5,0,3.18254,-0.00264,0.00085,0.00389,0.93905,0.98467,0.96729,0,0.16614,0,1.02089,0.97641,0.96168,Inactive
2440,45680,0,1.94429,3271,59240.5,0.76043,2.76261,4983,24627,0,3.34791,-0.00212,-0.00284,-0.00992,0.9629,0.92357,0.95953,0,0.02484,0,1.01682,1.01489,1.02383,Inactive
1985,44465,0,1.96198,3506,63044,1.01232,2.86491,4676,25636,0,3.35782,-0.00175,0.00683,0.01075,0.91032,0.99081,0.98567,0,0.1979,0,1.02456,1.0228,0.98634,Inactive
2264,44880.5,0,1.88977,3182,62206,0.96283,2.71129,4649,24980,0,3.33453,0.00245,-0.00017,0.00136,0.92286,0.97633,0.96894,0,0.11686,0,0.98901,0.98169,0.9878,Inactive
